index,person,signature,factoid,year,note,sentiment
0,"Abbot (""Abbot"")","164,13","Robert, Postmaster, Detroit",1806,,NEUTRAL
1,"Abbot (""Abbot""), Detroit merchant","155,2",Bringing favorable news about the treaty,1789,,POSITIVE
2,"Abbot (""Abbot""), Detroit merchant","155,2",Coming from Pittsburg with mail,1789,,NEUTRAL
3,"Abbot (""Abbot""), Detroit merchant","162,3",To be reported for selling liquor to Indians,1800,,NEUTRAL
4,"Abbot, justice of the peace; Thames River.","171,1",Providing camping ground for travelling Christians,1798,,NEUTRAL
5,"Adams, doctor; Litchfield Co., Conn.","115,7",Protecting the rights of the Indians,1757,,NEUTRAL
6,"Adams, doctor; Litchfield Co., Conn.","115,9",Ref.,1759,(lives between Sichem and Pachgatgoch),NEUTRAL
7,"Adams, James.","171,6",Mentally deranged man found in the weeds,1800,,NEUTRAL
8,"Adams, James.","171,6",Brought to Charlestown,1800,,NEUTRAL
9,"Addison (prob.), Alexander, judge; Pittsburg.","177,1",Helpful &amp; friendly to travelling missionaries,1800,,POSITIVE
10,"Addison, Anglican clergyman; Niagara.","163,7","In charge of services at Brantford, Ont.",1810,,NEUTRAL
11,"Addison, Anglican clergyman; Niagara.","163,7",Ref.,1810,,NEUTRAL
12,"Aderton; Litchfield Co., Conn.","115,6",Having service at his place,1756,,NEUTRAL
13,"Aderton; Litchfield Co., Conn.","115,7",Present at Pachgatgoch services,1757,(living six miles from Pachgatgoch),NEUTRAL
14,"Adolph, Jacob.","116,3",Sick,1748,,NEGATIVE
15,"Adolph, Jacob.","116,3",Conversation with Mack,1748,,NEUTRAL
16,"Adolph, Jacob.","116,3",Bled by Pyrlaeus,1748,,NEUTRAL
17,"Adolph, Jacob.","116,3",Involved in same misadventure,1748,,NEUTRAL
18,"Adolph, Jacob.","116,3",Taken to task by Rauch,1748,,NEUTRAL
19,"Adolph, Jacob.","116,3",Returning from Bethlehem,1748,,NEUTRAL
20,"Adolph, Jacob.","116,7",Setting fences,1750,,NEUTRAL
21,"Adolph, Jacob.","116,7",Staking out fields for the Indians,1750,,NEUTRAL
22,"Adolph, Jacob.","116,7",Organizing work on the new land,1750,,NEUTRAL
23,"Adolph, Jacob.","116,7",Having a very unlucky day,1750,,NEUTRAL
24,"Adolph, Jacob.","116,7",Arriving from Bethlehem,1750,,NEUTRAL
25,"Adolph, Jacob.","116,5",Returning from Bethlehem,1749,,NEUTRAL
26,"Adolph, Jacob.","116,5",Helpful to a neighbor,1749,,POSITIVE
27,"Adolph, Jacob.","116,5",Going to Bethlehem,1749,,NEUTRAL
28,"Adolph, Jacob.","116,5",Ref.,1749,,NEUTRAL
29,"Adolph, Jacob.","116,5",Ref.,1749,,NEUTRAL
30,"Adolph, Jacob.","116,4",Chosen as companion for Seidel,1748,,NEUTRAL
31,"Adolph, Jacob.","116,5",Coming to Gnadenhutten as messenger,1749,,NEUTRAL
32,"Adolph, Jacob.","116,5",Leaving,1749,,NEUTRAL
33,"Adolph, Jacob.","116,5",Coming to Gnadenhutten,1749,,NEUTRAL
34,"Adolph, Jacob.","116,5",Going to Bethlehem,1749,,NEUTRAL
35,"Adolph, Jacob.","116,3",Treated by Rauch for pleurisy,1748,,NEUTRAL
36,"Adolph, Jacob.","116,3",Attending the synod at Bethlehem,1748,,NEUTRAL
37,"Adolph, Jacob.","116,3",Spoken to for some misdemeanor,1748,,NEUTRAL
38,"Adolph, Jacob.","116,3",Tearful interview with Rauch,1748,,NEUTRAL
39,"Adolph, Jacob.","116,3",Discussion of his spiritual situation,1748,,NEUTRAL
40,"Adolph, Jacob.","116,3",Seeking forgiveness,1748,,POSITIVE
41,"Adolph, Jacob.","116,6",Ref.,1749,,NEUTRAL
42,"Adolph, Jacob.","116,6",Going to Bethlehem,1749,,NEUTRAL
43,"Adolph, Jacob.","116,6",Ref.,1749,,NEUTRAL
44,"Adolph, Jacob.","116,6",Ref.,1749,,NEUTRAL
45,"Adolph, Jacob.","116,7",Coming to work at Gnadenhutten,1750,,NEUTRAL
46,"Adolph, Jacob.","116,2",Going to Bethlehem,1747,,NEUTRAL
47,"Adolph, Jacob.","116,3",Returning from Bethlehem,1748-01-06,st. vet.,NEUTRAL
48,"Adolph, Jacob.","116,3",Having a lovefeast on his birthday,1748,,NEUTRAL
49,"Adolph, Jacob.","116,3",Trip to Bethlehem,1748,,NEUTRAL
50,"Adolph, Jacob.","116,3",Building a canoe,1748,,NEUTRAL
51,"Adolph, Jacob; Bethlehem.","116,2",Coming to Gnadenhutten,1747,,NEUTRAL
52,"Adolph, Jacob; Bethlehem.","116,2",Coming to the synod,1747,,NEUTRAL
53,"Adolph, Jacob; Bethlehem.","116,2",Arriving at Gnadenhutten,1747,,NEUTRAL
54,"Adolph, Jacob; Bethlehem.","116,2",Helping an Indian build a chimney,1747,st. n.,POSITIVE
55,"Adolph, Jacob; Bethlehem.","116,2",Doing carpenter work,1747-10-13,st. vet.,NEUTRAL
56,"Adolph, Jacob; Bethlehem.","116,2",Interview with Pyrlaeus,1747,,NEUTRAL
57,"Albrecht, Jacob.","175,2",Founder of Evangelical Association,1816,,NEUTRAL
58,"Albrecht, Johann Andreas.","121,6",Remembered for fixing a gun,1754,,NEGATIVE
59,"Albrecht, Johann Andreas.","118,3",Messenger,1755,,NEUTRAL
60,"Albrecht, Johann Andreas.","118,6",Ref. No. 7,1755,,NEUTRAL
61,"Albrecht, Johann Andreas; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL
62,"Albrecht, Johann Andreas; Bethlehem.","117,3",Playing the traverse flute,1752,,POSITIVE
63,"Albrecht, Johann Andreas; Bethlehem.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL
64,"Albrecht, Johann Andreas; Bethlehem.","117,4",Lovefeast for single brethren on his birthday,1753,,NEUTRAL
65,"Albright, Henry; Litits.","173,6",Escorting Susanna Zeisberger,1809,,NEUTRAL
66,"Alexander; Dutchess Co., New York.","112,6","Acquiring part of the ""Little Nine Partners "" land No. 5",1744,,NEUTRAL
67,Allen.,"172,2","Tavern keeper at Pittsburg, Pa.",1799,,NEUTRAL
68,"Allen, Ebenezer.","174,3",Possibly ref. to No. 3,1803,,NEUTRAL
69,"Allen, Ebenezer, Delaware; Ont.","172,1",Ref.,1798,,NEUTRAL
70,"Allen, Ebenezer, Delaware; Ont.","172,1","Founder of a settlement in Delaware Tp., Ont.",1798,,NEUTRAL
71,"Allen, James, first clerk for the western district.","162,8",Advising accused Indians to give themselves up,1804,,NEGATIVE
72,"Allen, Mrs.; Milford, Conn.","111,4B",Confused ideas about God,1743,,NEGATIVE
73,"Allen, Mrs.; Milford, Conn.","111,4A",Visitor,1743,,NEUTRAL
74,"Allen, Nathan, living at the Finery.","162,3",Forwarding mail,1800,,NEUTRAL
75,"Allen, Nathan, living at the Finery.","161,2",Overnight guest,1794,,NEUTRAL
76,"Allen, Nathan, living at the Finery.","161,2",Visitor,1794,,NEUTRAL
77,"Allen, Nathan, living at the Finery.","161,2",Visitor at Fairfield,1795,,NEUTRAL
78,"Allen, William, chief justice.","127,4",Hearing a definite declaration from the interned Indians,1765,,POSITIVE
79,"Allen, William, chief justice.","127,4",Ref.,1765,,NEUTRAL
80,"Allen, William, chief justice.","127,4",b[?]ing the Christian Indians at Nain,1765,,NEUTRAL
81,"Allen, William, chief justice; Philadelphia.","127,2",Been by delegation of interned Indians,1764,,NEUTRAL
82,"Allen, William, chief justice; Philadelphia.","127,2",Issuing a passport,1764,,NEUTRAL
83,"Allen, William, chief justice; Philadelphia.","127,2",Idem,1764,,NEUTRAL
84,"Allen, William, chief justice; Philadelphia.","127,4",Seen by Indian delegation,1765,,NEUTRAL
85,"Allen, William, recorder chief justice; Philadelphia, Pa.","112,4",Acknowledging Moravians as a Protestant Church,1744-08-11,bis,NEUTRAL
86,"Allen; Milford, Conn.","111,4B",Siding with imprisoned missionaries,1743,,NEGATIVE
87,"Allworth (""Alsworth""), James, Sichem; Litchfield Co., Conn.","115,3",Visitor at Pachgatgoch,1755,,NEUTRAL
88,"Allworth (""Alsworth""), James, Sichem; Litchfield Co., Conn.","115,11",Bringing mail to Pachgatgoch,1761,,NEUTRAL
89,"Almers, Henry; New York.","112,3",Ref.,1744,,NEUTRAL
90,"Ancrum, major.","155,1","Former Governor, remembered",1787,,NEUTRAL
91,"Ancrum, major.","152,2","William, issuing passport for travelling Christians",1786,,NEUTRAL
92,"Ancrum, major.","152,2",Helpful attitude reported to Gen. Harmar,1786,,POSITIVE
93,"Ancrum, major.","152,2",Former visit remembered,1786,,NEUTRAL
94,"Ancrum, major.","155,1",Indemnity paid to Christian Indians misinterpreted,1787,,NEGATIVE
95,"Ancrum, major, commandant at Detroit.","152,2",Painting a favorable picture of situation among the Indians,1786,,POSITIVE
96,"Ancrum, major, commandant at Detroit.","152,2",To be consulted on sale of improvements,1786,,POSITIVE
97,"Ancrum, major, commandant at Detroit.","152,2","Visitor to Ghutten, H.",1786,,NEUTRAL
98,"Ancrum, major, commandant at Detroit.","152,2",Recip. of land grant from the King,1786,,POSITIVE
99,"Ancrum, major, commandant at Detroit.","152,2",Dealing with Chippewa murderers,1786,,NEGATIVE
100,"Anders, Anna Rosina.","127,2",Escorting Indian single sisters,1764,,NEUTRAL
101,"Anders, Anna Rosina.","127,2",Speaking the single sisters,1764,,NEUTRAL
102,"Anders, Anna Rosina.","125,2",Visitor at Nain,1760,,NEUTRAL
103,"Anders, Anna Rosina.","125,3",Visitor at Nain,1762,,NEUTRAL
104,"Anders, Anna Rosina.","125,3",Idem,1763,,NEUTRAL
105,"Anders, Anna Rosina; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL
106,"Anders, Anna Rosina; Bethlehem.","117,3",Interviews with single sisters,1752,,NEUTRAL
107,"Anders, Anna Rosina; Bethlehem.","117,3",Conversation with Kuester's daughter,1752,,NEUTRAL
108,"Anders, Anna Rosina; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL
109,"Anders, Anna Rosina; Bethlehem.","118,2",Visiting the Indian women,1754,,NEUTRAL
110,"Anders, Anna Rosina; Bethlehem.","115,6",Asked to take care of Josua's daughter,1756-02,Suppl.,POSITIVE
111,"Anders, Anna Rosina; Bethlehem.","115,11",Remembered,1761-??-10,,NEUTRAL
112,"Anders, Anna Rosina; Bethlehem.","115,12",Reported to be at New/York,1762,,NEUTRAL
113,Anderson.,"131,2",Easton trader coming to Wyalusing,1765,,NEUTRAL
114,Anderson.,"131,2",Visitor at Wyalusing,1765,,NEUTRAL
115,Anderson.,"131,2",Leaving,1765,,NEUTRAL
116,Anderson.,"131,5",Offering to take mail to Bethlehem,1768,,NEUTRAL
117,Anderson.,"131,5",Sending letter to his mother at Allen's Town,1768,,NEUTRAL
118,Anderson.,"133,1",Reporting on distribution of land,1769,,NEUTRAL
119,Anderson.,"137,3",Reporting having seen moving Christians at Great Island,1772,,POSITIVE
120,Anderson.,"137,4",Stopping at Langundo Utenunk,1773,,NEGATIVE
121,Anderson.,"131,6",Accompanying surveyors,1769,,NEUTRAL
122,Anderson.,"131,6",same,1769,,NEUTRAL
123,Anderson.,"131,6",Going to Wajomick,1769,,NEUTRAL
124,Anderson.,"131,6",To Frhutten with surveyor,1769,,NEUTRAL
125,Anderson.,"131,6",Going to Zeninga,1769,,NEUTRAL
126,Anderson.,"131,7",Delivering mail,1770,,NEUTRAL
127,Anderson.,"137,2","Now living at Shenenge, visitor",1771,,NEUTRAL
128,"Anderson (?), captain; Philipsburg, N.J.","125,5",Customer at the Bethlehem store No. 4,1763,,NEUTRAL
129,"Anderson, capt., Royal Navy.","152,2","Accompanying Gov. Ancrum to Ght., H.",1786,,NEUTRAL
130,"Anderson, capt., Royal Navy.","152,2","Coming to survey Ght., H. land",1786,,NEUTRAL
131,"Anderson, capt., Royal Navy.","152,2",Returning to Detroit,1786,,NEUTRAL
132,"Anderson, Charles.","172,1","Owner of a place on 40 mile Creek, Ont.",1798,,NEUTRAL
133,"Anderson, Charles.","172,1",Ref.,1798,,NEUTRAL
134,"Anderson, Charles.","118,3",Junger for the married peoples' choir,1755,,NEUTRAL
135,"Anderson, Charles.","118,6",Writer of letter to Spangenberg No. 18,1755,,NEUTRAL
136,"Anderson, Charles.","118,6",Changing his lodging No. 7,1755,,NEUTRAL
137,"Anderson, Charles.","118,6",Ref. No. 26,1755,,NEUTRAL
138,"Anderson, Charles.","118,5",Arrangement for regular morning and evening services No. 17,1755,,NEUTRAL
139,"Anderson, Charles.","118,5",Arrival at Gnadenhutten No. 23,1755,,NEUTRAL
140,"Anderson, Charles.","118,3",Returning to Gnadenhutten,1755,,NEUTRAL
141,"Anderson, Charles.","118,5",Journey to Gnadenhutten in heavy rain No. 24,1755,,NEUTRAL
142,"Anderson, Charles.","118,3",Gemein-Junger,1755,,NEUTRAL
143,"Anderson, Charles.","118,3",Unable to attend Married Peoples' festival,1755,,POSITIVE
144,"Anderson, Charles.","118,3",Moving into the store-building,1755,,NEUTRAL
145,"Anderson, Charles.","118,3",Getting a ceiling over his room,1755,,NEUTRAL
146,"Anderson, Charles.","118,3",Gemein-Junger,1755,,NEUTRAL
147,"Anderson, Charles.","118,3",Coming to Gnadenhutten,1755,,NEUTRAL
148,"Anderson, Charles.","118,3",Ref.,1755,,NEUTRAL
149,"Anderson, Charles.","118,3",Taking up residence at Gnadenhutten,1755,,NEUTRAL
150,"Anderson, Charles.","118,5","Writer of 3 letters to Spangenberg May, June 55; First impressions of white Gnadenhutten congregation No. 16",1755,,POSITIVE
151,"Anderson, Johanna, d. of Gottlieb and Johanna Christina (Vollmer) Anderson.","118,5",Friendly and patient child No. 24,1755,,POSITIVE
152,"Anderson, member of Ohio presbytery.","157,11",Met by Luckenbach at Upper Sandusky,1808,,NEUTRAL
153,"Anderson, trader; Pittsburg.","144,3",Member of delegation to the Shawnee,1774,,NEUTRAL
154,"Anderson, trader; Pittsburg.","144,3",Protected at Gekelemukpechunk,1774,,POSITIVE
155,"Anderson, trader; Pittsburg.","141,8",Information on White Eye's dealings with the Congress,1776,,NEUTRAL
156,"Anderson, trader; Pittsburg.","144,1",Praises work of the brethren among the Indians,1773,,POSITIVE
157,"Anderson, trader; Pittsburg.","141,4",Visitor,1773,,NEUTRAL
158,"Anderson, trader; Pittsburg.","141,5",Accompanied by White Eye on peace errand to Shawnee,1774,,POSITIVE
159,"Anderson, trader; Pittsburg.","141,4",Forwards letters from Bethlehem and Lititz,1773,,NEUTRAL
160,"Anderson, trader; Pittsburg.","144,3",To be informed of new Shawnee war threats,1774,,NEGATIVE
161,"Anderson, trader; Pittsburg.","141,5",Carrying letters and diary to Beth.,1774,,NEUTRAL
162,"Anderson, trader; Pittsburg.","144,5",no desc,1775,,NEGATIVE
163,"Anderson, trader; Pittsburg.","144,5",no desc,1775,,NEGATIVE
164,"Anderson, trader; Pittsburg.","147,1",Information on Congress' reply to White Eye,1776,,NEUTRAL
165,"Anderson, trader; Pittsburg.","144,7",Taking letters to Bethlehem,1776,,NEUTRAL
166,"Anderson, trader; Pittsburg.","144,7",To live at Goschachgunk as liaison man,1776,,NEUTRAL
167,"Anderson, trader; Pittsburg.","144,7",Returning,1776,,NEUTRAL
168,"Anderson, trader; Pittsburg.","147,2",To stay at Goschachgunk as liaison man,1776,,NEUTRAL
169,"Anderson, trader; Pittsburg.","144,9",Supplying merchandise,1777,,NEUTRAL
170,"Anderson, trader; Pittsburg.","141,9",Companions arriving from the Fort,1777,,NEUTRAL
171,"Anderson, trader; Pittsburg.","141,9",Return,1777,,NEUTRAL
172,"Anderson, trader; Pittsburg.","147,2",Trying to find an interpreter for the treaty,1776,,NEUTRAL
173,"Anderson, trader; Pittsburg.","144,7",Buys cattle for impending treaty,1776,,NEUTRAL
174,"Anderson, trader; Pittsburg.","147,2",Believes war coming,1776,,NEGATIVE
175,"Anderson, trader; Pittsburg.","144,7",via Schonbrunn to Pittsburg,1776,,NEUTRAL
176,"Anderson, trader; Pittsburg.","144,2",Brings letters,1773,,NEUTRAL
177,"Anderson, trader; Pittsburg.","144,6",Coming with merchandise,1776,,NEUTRAL
178,"Anderson, trader; Pittsburg.","144,9",To forward letters from Schmick,1777,,NEUTRAL
179,"Andreas, Abraham.","116,1",Returning to Bethlehem,1747,,NEUTRAL
180,"Antes, Christina, m. n. De W[?], w. of Henry Antes.","116,1",Coming to Gnadenhutten,1747,,NEUTRAL
181,"Antes, Christina, m. n. De W[?], w. of Henry Antes.","116,1",Returning to Bethlehem,1747,,NEUTRAL
182,"Antes, Henry.","116,5",Ref.,1749,,NEUTRAL
183,"Antes, Henry.","116,6",To receive a letter,1749,,NEUTRAL
184,"Antes, Henry.","116,6",Arriving,1749,,NEUTRAL
185,"Antes, Henry.","116,6",Conducting service,1749,,NEUTRAL
186,"Antes, Henry.","116,6",Marking sites of future buildings,1749,,NEUTRAL
187,"Antes, Henry.","118,3",Remembered,1755,,NEUTRAL
188,"Antes, Henry.","118,3",Death reported,1755,,NEGATIVE
189,"Antes, Henry.","116,7",Called to supervise repair of the mill,1750,,NEUTRAL
190,"Antes, Henry.","116,7",Coming to Gnadenhutten,1750,,NEUTRAL
191,"Antes, Henry.","116,7",Conducting service,1750,,NEUTRAL
192,"Antes, Henry.","116,7",Leaving,1750,,NEUTRAL
193,"Antes, Henry.","116,6",Leaving,1749,,NEUTRAL
194,"Antes, Henry.","116,6",Promising to take a child to the Fredericktown school,1749,,POSITIVE
195,"Antes, Henry.","116,6",Visitor at Gnadenhutten,1749,,NEUTRAL
196,"Antes, Henry.","116,6",Giving advice on building problem,1749,,NEGATIVE
197,"Antes, Henry.","116,7",Ref.,1750,,NEUTRAL
198,"Antes, Henry.","116,5",Arriving at Gnadenhutten,1749,,NEUTRAL
199,"Antes, Henry.","116,5",Discussing economic problems,1749,,NEGATIVE
200,"Antes, Henry.","116,5",Leaving,1749,,NEUTRAL
201,"Antes, Henry.","116,5",Coming to Gnadenhutten,1749,,NEUTRAL
202,"Antes, Henry.","116,5",Inspecting new tract of land,1749,,NEUTRAL
203,"Antes, Henry.","116,5",Leaving,1749,,NEUTRAL
204,"Antes, Henry.","119,1",Ref. No. 2,1747-10-29,st. vet,NEUTRAL
205,"Antes, Henry.","116,1",Pastoral visit,1747,,NEUTRAL
206,"Antes, Henry.","116,1",Coming to Gnadenhutten,1747,,NEUTRAL
207,"Antes, Henry.","116,1",Ref.,1747,,NEUTRAL
208,"Antes, Henry.","116,1",Conference on the placing of newcomers,1747,,NEUTRAL
209,"Antes, Henry.","116,2",Returning to Bethlehem,1747,,NEUTRAL
210,"Antes, Henry.","116,3",First arrival at Gnadenhutten remembered,1748,,NEUTRAL
211,"Antes, Henry.","116,3",To have a letter from Rauch,1748,,NEUTRAL
212,"Antes, Henry.","116,3",Getting his horse back,1748,,NEUTRAL
213,"Antes, Henry; Bethlehem.","121,1",Conference with Zinzendorf,1742,,NEUTRAL
214,"Antes, Henry; Bethlehem.","116,1",Visitor at Gnadenhutten,1747,,NEUTRAL
215,"Antes, Henry; Bethlehem.","116,1",Conducting service,1747,,NEUTRAL
216,"Antes, Henry; Bethlehem.","116,1",Idem,1747,,NEUTRAL
217,"Antes, Henry; Bethlehem.","116,1",In conference with Mack,1747,,NEUTRAL
218,"Antes, Henry; Bethlehem.","113,4",Accompanying Rauch,1746,,NEUTRAL
219,"Antes, Henry; Bethlehem.","111,8",Ref. No. 3,1743,,NEUTRAL
220,"Antes, Henry; Bethlehem.","127,1",Staying with refugee Christians,1764,,NEUTRAL
221,"Antes, Henry; Bethlehem.","127,1",Going from Amboy to Staten Island,1764,,NEUTRAL
222,"Antes, Henry; Bethlehem.","127,1",Taking letters to Staten Island,1764,,NEUTRAL
223,"Antes, Henry; Bethlehem.","127,1",Returning to Bethlehem,1764,,NEUTRAL
224,"Apte, lieutenant.","144,3",Schmick's guest at Gnadenhutten,1774,,NEUTRAL
225,"Apty, Thomas, major.","131,1",Escorting travelling Christian Indians from Bethlehem,1765,,NEUTRAL
226,"Apty, Thomas, major.","131,1",Appointment with Indians to receive flour,1765,,NEUTRAL
227,"Apty, Thomas, major.","131,1",Involved in incident near Bethlehem,1765,,NEUTRAL
228,"Apty, Thomas; Philadelphia.","127,1",Writing about the situation of traveling Christian Indians,1764,,NEUTRAL
229,"Apty, Thomas; Philadelphia.","127,2",Announcing journey to Sir William Johnson,1764,,NEUTRAL
230,"Apty, Thomas; Philadelphia.","127,5",Active on behalf of displaced Indians No. 8,1764,,POSITIVE
231,"Apty, Thomas; Philadelphia.","127,1",Delivering letters at Province Island,1763,,NEUTRAL
232,"Apty, Thomas; Philadelphia.","127,1",Escorting the Christian Indians to Princeton,1764,,NEUTRAL
233,"Apty, Thomas; Philadelphia.","127,1",Reporting on difficulties encountered at Amboy,1764,,NEGATIVE
234,"Apty, Thomas; Philadelphia.","127,1",Explaining government order,1764,,NEUTRAL
235,"Apty, Thomas; Philadelphia.","127,2",Returning from Sir Wm. Johnson,1764,,NEUTRAL
236,"Apty, Thomas; Philadelphia.","127,4",Sending a report to Governor Penn,1764,,NEUTRAL
237,"Apty, Thomas; Philadelphia.","127,2",Returning from Fort Allen,1764,,NEUTRAL
238,"Arbo, John.","127,2",Visitor at the Barracks,1764,,NEUTRAL
239,"Arboe, Johann.","131,8",To receive letter from Schmick,1771,,NEUTRAL
240,"Arboe, Johann.","131,8",Letter received by Schmick,1771,,NEUTRAL
241,"Arboe, Johann.","131,8",Book received by Schmick,1771,,NEUTRAL
242,"Arboe, Johann.","131,8",Letter received by Schmick,1771,,NEUTRAL
243,"Arboe, Johann.","131,8",again,1771,,NEUTRAL
244,"Arboe, Johann.","131,8",Sending textbooks for the new year,1771,,NEUTRAL
245,"Arboe, Johann.","131,7",Correspondent,1770,,NEUTRAL
246,"Arboe, Johann.","131,7",Letter received by Schmick,1770,,NEUTRAL
247,"Arboe, Johann.","131,7",To receive letter from Schmick,1770,,NEUTRAL
248,"Arboe, Johann.","131,7",Correspondent,1770,,NEUTRAL
249,"Arboe, Johann.","131,7",again,1770,,NEUTRAL
250,"Arboe, Johann.","131,8",Sending textbooks for the new year,1771,,NEUTRAL
251,"Arboe, Johann.","131,9",Correspondent,1772,,NEUTRAL
252,"Arboe, Johann, mission agent at Bethlehem.","144,1",News of his death,1773,,NEGATIVE
253,"Arboe, Johann; Bethlehem.","124,3",Visitor at Wechquetank,1762,,NEUTRAL
254,"Arboe, Johann; Bethlehem.","125,3",Visitor at Nain,1763,,NEUTRAL
255,"Ardin, James; Bethlehem.","117,1",Doing carpenter work at Gnadenhutten,1750,,NEUTRAL
256,"Ardin, James; Bethlehem.","117,1",Work completed,1750,,NEUTRAL
257,Arndt de Pieu.,"131,1",Owner of runaway slave,1765,,NEUTRAL
258,"Arndt, Jacob; Easton, Pa.","124,4",Guest at Wechquetank,1763-09-27,(Engl. Vers),NEUTRAL
259,Arnold.,"171,1","Tunker, owner of a sawmill on Thames River",1798,,NEUTRAL
260,Arnold; Thames R. area resident.,"163,9",Funeral conducted by Denke,1812,,NEGATIVE
261,"Askin (""Asking""), John.","161,3",Buying corn,1797,,NEUTRAL
262,"Askin (""Asking""), John.","161,3",Forwarding mail and literature,1797,,NEUTRAL
263,"Askin (""Asking""), John.","152,2","Payment for buildings and improvements at Ghutten, H.",1786,,POSITIVE
264,"Askin (""Asking""), John.","152,2",Correspondence about package of mail missent via Sandusky to Detroit,1786,,NEUTRAL
265,"Askin (""Asking""), John.","152,2",Reporting on efforts to send relief from Detroit for Christians,1786,,POSITIVE
266,"Askin (""Asking""), John.","153,1",Friendly letter to Zeisberger,1786,,POSITIVE
267,"Askin (""Asking""), John.","153,2",To receive letter from Zeisberger,1787,,NEUTRAL
268,"Askin (""Asking""), John.","155,1",Sending reassuring news,1787,,POSITIVE
269,"Askin (""Asking""), John.","155,1",To receive letter from Zeisberger,1787,,NEUTRAL
270,"Askin (""Asking""), John.","155,1",In litigation with Bawbee on former mission property,1787,,NEGATIVE
271,"Askin (""Asking""), John.","155,2",Offering to trade merchandise for corn,1788,,NEUTRAL
272,"Askin (""Asking""), John.","155,2",Reserving corn supply for needs of the poor,1789,,NEGATIVE
273,"Askin (""Asking""), John.","155,3",Sending his son to buy corn,1789,,NEUTRAL
274,"Askin (""Asking""), John.","155,3",Good services in 1786 remembered,1790,,POSITIVE
275,"Askin (""Asking""), John.","155,4",Assuring government's support in fight against rum,1790,,POSITIVE
276,"Askin (""Asking""), John.","155,4",Chartering a ship to the Christians,1791,,NEUTRAL
277,"Askin (""Asking""), John.","161,1",Seen by Zeisberger,1792,,NEUTRAL
278,"Askin (""Asking""), John.","161,1",Forwarding letters to Retrenche River settlement,1792,,NEUTRAL
279,"Askin (""Asking""), John.","161,1",Forwarding letters,1792,,NEUTRAL
280,"Askin (""Asking""), John.","161,3",Sending merchandise,1796,,NEUTRAL
281,"Askin (""Asking""), John.","161,3",Forwarding letter,1797,,NEUTRAL
282,"Askin (""Asking""), John.","162,1",Settling accounts with Indians,1799,,NEUTRAL
283,"Askin (""Asking""), John.","162,1",Correspondent,1799,,NEUTRAL
284,"Askin (""Asking""), John.","162,2",Buying corn,1799,,NEUTRAL
285,"Askin (""Asking""), John.","162,2",Sending letter,1799,,NEUTRAL
286,"Askin (""Asking""), John, merchant; Detroit.","152,2","Accompanying Maj. Ancrum to Ght., H.",1786,,NEUTRAL
287,"Askin (""Asking""), John, merchant; Detroit.","152,2",Recip. of land grant from the King,1786,,POSITIVE
288,"Askin (""Asking""), John, merchant; Detroit.","152,2",To be seen by Heckewalder,1786,,NEUTRAL
289,"Askin (""Asking""), John, merchant; Detroit.","152,2","Buying shipload of corn at Ght., H.",1786,,NEUTRAL
290,"Askin (""Asking""), John, merchant; Detroit.","152,2",In charge of arrangements for travelling Christians,1786,,NEUTRAL
291,"Askin, James; from Sandwich, Ont.","162,9",Attending services,1805,,NEUTRAL
292,"Askin, James; from Sandwich, Ont.","163,2",Collecting debts at Fairfield,1809,,NEUTRAL
293,"Askin, James; from Sandwich, Ont.","163,2",Collecting old debts at Fairfield,1809,,NEUTRAL
294,"Askin, John.","157,1",Entertaining Oppelt family for breakfast,1804,,POSITIVE
295,"Askin, John.","157,7",Reporting on health conditions at Fairfield No. 5,1805,,NEUTRAL
296,"Askin, John.","157,7",Paid by Oppelt No. 11,1805,,NEUTRAL
297,"Askin, John.","157,1","Living in Ontario, 3 mi. above Detroit",1804,,NEUTRAL
298,"Askin, John.","157,1",Paying out money to Oppelt,1804,,NEUTRAL
