person,signature,factoid,year,note,sentiment,geo_person,lat,lon,geo_factoid,factoid_lat,factoid_lon
"Adolph, Jacob; Bethlehem.","116,2",Coming to Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob; Bethlehem.","116,2",Arriving at Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Albrecht, Johann Andreas; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Albrecht, Johann Andreas; Bethlehem.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Anders, Anna Rosina; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Anders, Anna Rosina; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Anderson, trader; Pittsburg.","144,7",Taking letters to Bethlehem,1776,,NEUTRAL,Pittsburg,39.94677,-76.40302,Bethlehem,40.86173,-78.73031
"Anderson, trader; Pittsburg.","144,7",via Schonbrunn to Pittsburg,1776,,NEUTRAL,Pittsburg,39.94677,-76.40302,Pittsburg,39.94677,-76.40302
"Antes, Henry; Bethlehem.","116,1",Visitor at Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Antes, Henry; Bethlehem.","127,1",Going from Amboy to Staten Island,1764,,NEUTRAL,Bethlehem,40.86173,-78.73031,Staten Island,40.56233,-74.13986
"Antes, Henry; Bethlehem.","127,1",Taking letters to Staten Island,1764,,NEUTRAL,Bethlehem,40.86173,-78.73031,Staten Island,40.56233,-74.13986
"Antes, Henry; Bethlehem.","127,1",Returning to Bethlehem,1764,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Ardin, James; Bethlehem.","117,1",Doing carpenter work at Gnadenhutten,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Aspich, dr.; Westmoreland Co., Pa.","173,2",Visitor at Goshen,1806,,NEUTRAL,"Westmoreland County, Pennsylvania",40.31073,-79.46696,Goshen,41.40204,-74.32432
"Bachhoff, Ludolph Gottlieb; Bethlehem.","121,6",Welcoming visitors at Shamokin,1754,,POSITIVE,Bethlehem,40.86173,-78.73031,Shamokin,40.78897,-76.55885
"Bachhoff, Ludolph Gottlieb; Bethlehem.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bagge, Lorens; Bethlehem.","118,3",Visitor at Gnadenhutten,1755,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bagge, Lorens; Bethlehem.","118,3",Visitor at Gnadenhutten,1755,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bawbee (""Papi""), dr.; Malden, Ontario.","174,3",Charge for visit at Thames R. No. 3,1803,,NEUTRAL,"Malden, Ontario",42.08339,-83.04985,Thames River,42.31679,-82.44981
"Bawbee, commissary at Detroit.","151,1",Owner of land on Huron (Clinton) River,1782,,NEUTRAL,Detroit,42.33143,-83.04575,Clinton River,42.59476,-82.77547
"Beaver, surveyor; Georgetown.","171,6",Visitor at Goshen,1800,,NEUTRAL,Georgetown,47.49989,-53.21478,Goshen,41.40204,-74.32432
"Beaver, surveyor; Georgetown.","171,7",Friend &amp; visitor at Goshen,1800,,POSITIVE,Georgetown,47.49989,-53.21478,Goshen,41.40204,-74.32432
"Bechtel, Johann; Bethlehem.","118,1",Coming to Gnadenhutten as investigator,1754,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bechtel, Johann; Bethlehem.","117,1",Visitor at Gnadenhutten,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bechtel, Johann; Bethlehem.","117,1",Returning to Bethlehem,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Bechtel, Johann; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bernhardt, Wenzel; Nazareth.","117,2",Visitor at Gnadenhutten,1751,,NEUTRAL,Nazareth,40.74038,-75.30962,Gnadenhutten,40.3584,-81.43428
"Bernhardt, Wenzel; Nazareth.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Nazareth,40.74038,-75.30962,Gnadenhutten,40.3584,-81.43428
"Beroth, Johannes; Christiansbrunn.","116,5",Coming to Gnadenhutten,1749,,NEUTRAL,Christiansbrunn,39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
"Beroth, Johannes; Christiansbrunn.","116,6",Going to Bethlehem,1749,,NEUTRAL,Christiansbrunn,39.95483,-75.99689,Bethlehem,40.86173,-78.73031
"Beyer, Friedrich; Bethlehem.","118,2",Going to Bethlehem,1754,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Bez, Andreas; Bethlehem.","121,5",Arriving at Shamokin,1749,,NEUTRAL,Bethlehem,40.86173,-78.73031,Shamokin,40.78897,-76.55885
"Bez, Andreas; Bethlehem.","121,5",To Tulpehocken for supplies,1749,,NEUTRAL,Bethlehem,40.86173,-78.73031,Tulpehocken,39.71334,-74.56316
"Binder, Catharine; Bethlehem.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Binder, Catharine; Bethlehem.","117,4",Returning to Bethlehem,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Bischoff, Johann David; Bethlehem, Pa.","112,12",Reporting on his journey to Shekomeko,1745,,NEUTRAL,"Bethlehem, Pennsylvania",40.86173,-78.73031,Shekomeko,41.92815,-73.59901
"Bless, Abraham; Bethlehem.","118,1",Coming to Gnadenhutten for business,1754,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Boehler, Elizabeth (""Liesol"").","118,1",Arriving at Gnadenhutten,1754,,NEUTRAL,Elizabeth,40.66399,-74.2107,Gnadenhutten,40.3584,-81.43428
"Boehler, Elizabeth (""Liesol"").","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Elizabeth,40.66399,-74.2107,Gnadenhutten,40.3584,-81.43428
"Boehler, Wilhelm; Bethlehem, Pa.","115,3",Returning to Bethlehem,1755,,NEUTRAL,"Bethlehem, Pennsylvania",40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Boehler, Wilhelm; Bethlehem, Pa.","115,15",Accompanying Petrus Boehler to Europe No. 14,1755,,NEUTRAL,"Bethlehem, Pennsylvania",40.86173,-78.73031,Europe,45.27262,-86.98636
"Boehnisch, Friedrich, missionary; Greenland.","116,6",Visitor at Gnadenhutten,1749,,NEUTRAL,Greenland,72.0,-40.0,Gnadenhutten,40.3584,-81.43428
"Boemper, Abraham; Bethlehem.","116,3",Accompanying Spangenberg to Gnadenhutten,1748,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Boemper, Abraham; Bethlehem.","116,6",Visitor at Gnadenhutten,1749,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Boemper, Abraham; Bethlehem.","117,1",Visitor at Gnadenhutten,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Bonn, Jacob; Christiansbrunn.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,"Christiansbrunn, Pennsylvania",39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
"Bonn, Jacob; Christiansbrunn.","117,4",Coming to Gnadenhutten,1753,,NEUTRAL,"Christiansbrunn, Pennsylvania",39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
"Bonn, Johannes; Bethlehem.","116,7",Arriving at Gnadenhutten,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Boud, general; Lancaster Co.","173,2",Visitor at Goshen,1805,,NEUTRAL,Lancaster County,40.04244,-76.2477,Goshen,41.40204,-74.32432
"Brad; Sharon, Conn.","111,1",Given assurance about the situation Shekomeko,1744,,POSITIVE,Connecticut,41.66704,-72.66648,Shekomeko,41.92815,-73.59901
"Bryzelius, Paul Daniel; Bethlehem, Pa.","112,15",Keeping the minutes at Shekomeko conference 2/,1745,,NEUTRAL,"Bethlehem, Pennsylvania",40.86173,-78.73031,Shekomeko,41.92815,-73.59901
"Bryzelius, Paul Daniel; Bethlehem, Pa.","112,10",To hear a report on Mack's arrest at Esopus,1745,,NEGATIVE,"Bethlehem, Pennsylvania",40.86173,-78.73031,Esopus,41.82787,-73.96514
"Bull; Litchfield Co., Conn.","115,9",Bringing mail from New York,1759,,NEUTRAL,"Litchfield County, Connecticut",41.74732,-73.18872,New York,43.00035,-75.4999
"Burnside, James (""Bornseith""); Bethlehem, Pa.","111,1",Visitor at Shekomeko,1743,,NEUTRAL,"Bethlehem, Pennsylvania",40.86173,-78.73031,Shekomeko,41.92815,-73.59901
Campbell; Pittsburg.,"144,4",To forward letter to Lititz,1775,,NEUTRAL,Pittsburg,39.94677,-76.40302,Lititz,40.15732,-76.3069
Campbell; Pittsburg.,"144,4",To Bethlehem,1775,,NEUTRAL,Pittsburg,39.94677,-76.40302,Bethlehem,40.86173,-78.73031
Campbell; Pittsburg.,"144,4",To Lititz,1775,,NEUTRAL,Pittsburg,39.94677,-76.40302,Lititz,40.15732,-76.3069
"Coelln, Claus; Christiansbrunn.","118,3",Visitor at Gnadenhutten,1755,,NEUTRAL,"Christiansbrunn, Pennsylvania",39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
"Colver, Elisha; Salisbury, Litchfield Co., Conn. (""Culver"").","115,3",Returned from Bethlehem,1755,,NEUTRAL,"Salisbury, Litchfield County, Connecticut",41.98343,-73.42123,Bethlehem,40.86173,-78.73031
"Colver, Elisha; Salisbury, Litchfield Co., Conn. (""Culver"").","144,4",Taking a letter to Bethlehem,1751,,NEUTRAL,"Salisbury, Litchfield County, Connecticut",41.98343,-73.42123,Bethlehem,40.86173,-78.73031
"Colver, Nathanael; Gnadenhutten.","175,6",Bringing mail from Bethlehem,1819,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Bethlehem,40.86173,-78.73031
"Cornwall, (al. Cornwallis), Francis.","162,6","With wife, visiting at Fairfield",1802,,NEUTRAL,Cornwall,41.84371,-73.32928,Fairfield,41.14121,-73.26373
"Cornwall, wife of Navy officer, Moravian.","152,1",Visitor from Detroit,1785,,NEUTRAL,Cornwall,41.84371,-73.32928,Detroit,42.33143,-83.04575
"Cramer, Adam; Bethlehem.","118,3",Visitor at Gnadenhutten,1755,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Cunow, Johann Gebhard, member P.E.C.; Bethlehem.","162,12",Official visit at Fairfield,1807,,NEUTRAL,Bethlehem,40.86173,-78.73031,Fairfield,41.14121,-73.26373
"Davis, Jacob, millwright; Gnadenhutten.","171,4",Visitor at Goshen,1799,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Goshen,41.40204,-74.32432
"Demuth, John, drayman; Bethlehem.","171,9",Arrived at Gnadenhutten with mail,1801,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Demuth, John, drayman; Bethlehem.","171,9",To take mail back to Bethlehem,1801,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Demuth, John, drayman; Bethlehem.","171,9",Visitor at Goshen,1802,,NEUTRAL,Bethlehem,40.86173,-78.73031,Goshen,41.40204,-74.32432
"Demuth, John, drayman; Bethlehem.","171,9",Expected to take letters &amp; diaries to Bethlehem,1802,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Doerrbaum, Johann Philipp; Bethlehem.","117,2",Visitor at Gnadenhutten,1751,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Douglas, Wheeler; Brantford, Ont.","172,1",Helping missionaries through Grand R.,1798,,POSITIVE,"Brantford, Ontario",43.1668,-80.29967,"Grand River, Ohio",41.76032,-81.28066
"Dunmore, Lord, general governor of Virginia (""Don Moore"").","141,6",Arrives in Pittsburgh,1774,,NEUTRAL,Virginia,37.54812,-77.44675,Pittsburgh,40.44062,-79.99589
"Eberhardt, Nicolaus Heinrich; Bethlehem.","118,2",Visitor at Gnadenhutten,1754,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Eberhardt, Nicolaus Heinrich; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Eberhardt, Nicolaus Heinrich; Bethlehem.","117,4",Coming to Gnadenhutten,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Edmonds, Peter, Jr.; Beersheba.","173,9",Engaged as guard &amp; observer at Goshen,1812,,POSITIVE,Beersheba,35.03791,-81.31925,Goshen,41.40204,-74.32432
"Edmonds, Peter; Gnadenhutten.","171,4",Visitor at Goshen,1799,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Goshen,41.40204,-74.32432
"Edmonds, Peter; Gnadenhutten.","171,8",Back from Georgetown,1800,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Georgetown,47.49989,-53.21478
"Edmonds, Peter; Gnadenhutten.","171,9",Visitor at Goshen,1801,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Goshen,41.40204,-74.32432
"Elliot, captain Matthew; Malden, Ont.","157,1","Owner of place 4 mi. below Malden, Ont.",1804,,NEUTRAL,"Malden, Ontario",42.08339,-83.04985,"Malden, Ontario",42.08339,-83.04985
"Elliot, Matthew, capt.; Malden.","163,10",Visited in sickness at Burlington,1814,,NEUTRAL,Malden,42.08339,-83.04985,Burlington,43.38621,-79.83713
"Elliot, Matthew, capt.; Malden.","163,10",Buried at Burlington in Denke's presence,1814,,NEUTRAL,Malden,42.08339,-83.04985,Burlington,43.38621,-79.83713
"Espich, dr.; Lutheran clergyman and physician; New Philadelphia.","173,5",Visitor at Goshen,1808,,NEUTRAL,New Philadelphia,40.48979,-81.44567,Goshen,41.40204,-74.32432
"Ettwein, Johannes, Moravian bishop; Bethlehem.","141,1",Writing from Great Island,1772,,POSITIVE,Bethlehem,40.86173,-78.73031,Great Island,47.23879,-52.77995
"Ettwein, Johannes, Moravian bishop; Bethlehem.","151,1",Accompanies travellers to Easton,1783,,NEUTRAL,Bethlehem,40.86173,-78.73031,Easton,41.12728,-79.54088
"Ettwein, Johannes, Moravian bishop; Bethlehem.","151,1",Letter dated May 9 delivered by American officers,1783,,NEUTRAL,Bethlehem,40.86173,-78.73031,America,37.13838,-89.12368
"Euler (""Eiler""); Graceham (m.).","171,13",Visitor at Goshen,1803,,NEUTRAL,Graceham,39.61427,-77.38165,Goshen,41.40204,-74.32432
Euler (fam.); Graceham.,"173,2",Visitor at Goshen,1806,,NEUTRAL,Graceham,39.61427,-77.38165,Goshen,41.40204,-74.32432
"Everle, Jacob; Bethlehem.","118,4",Worker at the Gnadenhutten smithy,1755,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Everle, Jacob; Bethlehem.","118,3",To Bethlehem for a visit,1755,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Feldhausen, Heinrich; Christiansbrunn.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,"Christiansbrunn, Pennsylvania",39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
Fenner; Gnadenhutten.,"171,13",Visitor at Goshen,1803,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Goshen,41.40204,-74.32432
"Flammand (""Flemming""), trader; Petquotting.","173,1",Bringing unfavorable news from Petquotting,1804,,NEUTRAL,Petquotting Creek,41.3981,-82.54906,Petquotting Creek,41.3981,-82.54906
"Flammand (""Flemming""), trader; Petquotting.","173,2",Bringing information on recent treaty on Maumee R.,1805,,NEUTRAL,Petquotting Creek,41.3981,-82.54906,Maumee River,41.69949,-83.45993
"Frey, Andreas; Warwick, Pa.","118,3",Visitor at Gnadenhutten,1755,,NEUTRAL,"Warwick, Pennsylvania",40.1651,-75.78382,Gnadenhutten,40.3584,-81.43428
"Frey, Henry; Bethlehem.","116,2",Coming to Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Frey, Henry; Bethlehem.","116,2",Going to Bethlehem,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Fritt, justice; Dutchess Co., N.Y.","112,6",Appearing at Shekomeko No. 11,1744,,NEUTRAL,"Dutchess County, New York",41.76515,-73.74286,Shekomeko,41.92815,-73.59901
"Fuhrer, Valentine; Bethlehem.","116,1",Visitor at Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Fuhrer, Valentine; Bethlehem.","116,2",Going to Bethlehem with Seidel,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Fuhrer, Valentine; Bethlehem.","116,2",Coming as messenger to Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Fuhrer, Valentine; Bethlehem.","116,3",Messenger from Bethlehem,1748,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Fuss, Lucas; Christiansbrunn.","118,3",Visitor at Gnadenhutten,1755,,NEUTRAL,"Christiansbrunn, Pennsylvania",39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
"Gambold, John; Salem, N.C.","171,4",Letter received at Goshen,1799,,NEUTRAL,"Salem, North Carolina",35.69874,-81.69704,Goshen,41.40204,-74.32432
"Geitner, Johann Georg; Bethlehem.","117,1",Visitor at Gnadenhutten,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Geitner, Johann Georg; Bethlehem.","117,3",Arriving at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Geitner, Johann Georg; Bethlehem.","116,4",Present at Gnadenhutten for a funeral,1748,,NEGATIVE,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Goebeld, settler; Mahoning Cr.","117,2",Visitor at Gnadenhutten,1751,,NEUTRAL,Mahoning Creek,40.93312,-79.46115,Gnadenhutten,40.3584,-81.43428
"Gore, Francis, governor of Upper Canada.","163,1",Not stopping at Fairfield,1808,,POSITIVE,Upper Canada,44.05502,-79.48201,Fairfield,41.14121,-73.26373
"Gottachalk, Matthias Gottlieb; Bethlehem.","116,3",Delivering a letter at Gnadenhutten,1748,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Greer (""Grier""), Mary, m. n. Evrett; Gnadenhutten.","171,13",Visitor at Goshen,1803,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Goshen,41.40204,-74.32432
"Greer, Paul; Gnadenhutten.","171,4",To Goshen for H. Communion,1799,,NEUTRAL,Gnadenhutten,40.3584,-81.43428,Goshen,41.40204,-74.32432
"Gross, Andress; Bethlehem.","117,3",Taking over duties at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Gross, Andress; Bethlehem.","117,4",Business trip to Bethlehem,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Bethlehem,40.86173,-78.73031
"Guenther, Jacob; Bethlehem.","116,7",Carrying letters to Gnadenhutten,1750,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Hagen, John Joachim; Neuwied.","173,1",Welcomed at Goshen,1804,,POSITIVE,Neuwied,50.4336,7.47057,Goshen,41.40204,-74.32432
"Haldiman, British general; Quebec.","151,1",Approves new settlement on Huron River,1782,,POSITIVE,Quebec,52.00017,-71.99907,Huron River,46.90992,-88.03679
"Haman, Adam; New Fairfield.","175,8",Letter rec. at Goshen,1821,,NEUTRAL,New Fairfield,39.50699,-84.97246,Goshen,41.40204,-74.32432
Hamilton.,"173,8",Visitor at Goshen,1811,,NEUTRAL,Hamilton,39.3995,-84.56134,Goshen,41.40204,-74.32432
"Hamilton, Henry.","147,7",British Governor at Detroit,1778,,NEUTRAL,Hamilton,39.3995,-84.56134,Detroit,42.33143,-83.04575
"Hamilton, Henry.","147,7",Accuses Zeisberger of reporting to Pittsburg,1778,,NEGATIVE,Hamilton,39.3995,-84.56134,Pittsburg,39.94677,-76.40302
"Hamilton, James, governor.","125,5",To have report on sale of gunpowder at Bethlehem No. 1,1763,,NEUTRAL,"Hamilton, Ohio",39.3995,-84.56134,Bethlehem,40.86173,-78.73031
"Hamilton, Presbyterian.","111,1",Argumentative visitor at Shekomeko,1745,,NEGATIVE,Hamilton,39.3995,-84.56134,Shekomeko,41.92815,-73.59901
"Harris, John, justice; Salisbury, Conn.","115,6",Bringing letters from New York,1757,,NEUTRAL,"Salisbury, Connecticut",41.98343,-73.42123,New York,43.00035,-75.4999
"Hasselmann, Bartholomaus; Bethlehem.","116,4",Reported to have arrived from Europe,1748,,NEUTRAL,Bethlehem,40.86173,-78.73031,Europe,45.27262,-86.98636
"Hasselmann, Bartholomaus; Bethlehem.","116,5",Visitor at Gnadenhutten,1749,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Hays, Jewish businessman; Litchfield Co., Conn. (""Hess?, Heyse?"").","115,9",Bringing letters from New York,1759,,NEUTRAL,"Litchfield County, Connecticut",41.74732,-73.18872,New York,43.00035,-75.4999
"Heber, Nicholas Klias; Nazareth.","172,1",Returning to Nazareth,1798,,NEUTRAL,Nazareth,40.74038,-75.30962,Nazareth,40.74038,-75.30962
"Heckedorn, Erhard; Christiansbrunn.","117,4",Delivering letters at Gnadenhutten,1753,,NEUTRAL,Christiansbrunn,39.95483,-75.99689,Gnadenhutten,40.3584,-81.43428
