place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Acapulco,[],,,MX,,,,,16.84942,-99.90891,Acapulco de Juarez
Achain,[],,OH,,,Stone River,,,,,
Achquittehannink,[],,,,,,,,,,
Achquittehannink River,['also Echquitehanek'],,OH,,,,H,,,,
Achsunnissunk,[],,,,,,,,,,
Adams County,[],001,OH,,,mouth of Ohio Brush Creek,,,38.84551,-83.47215,Adams County
Adamstown,[],071,PA,,,,,,40.2412,-76.05633,Adamstown
Africa,[],,,,Africa,,,,37.84033,-87.07277,Africa
Alackhookamikoae,[],095,PA,,,branch of Wilson's Creek,,,,,
Albany,['Albanien'],,NY,,,,,,42.65258,-73.75623,Albany
Algiers,[],,,,,,,,38.48727,-87.17501,Algiers
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory,,,35.98844,-82.66736,Allegheny
Allegheny Mountains,[],,PA,,,Bedford and Somerset County,T,,,,
Allegheny Ohio River and its territory,"['Allgene', 'Algene']",,,,,,L,,,,
Allegheny River,"['also Allegene', 'Aligena']",,,,,area | Mountains,H,,40.4434,-80.01505,Allegheny River
Allemaengel,[],077,PA,,,Lynn Township,,,,,
Allemaengel,[],,,,,,,,,,
Allen Township,[],095,PA,,,,,,,,
Allentown,['Allenstown'],,PA,,,,,,40.60843,-75.49018,Allentown
Allobank,['Hallobank'],,,,,,,,,,
Almenisepunk,[],,OH,,,Vermilion Creek,,,,,
Amatschiwomunk,[],,,,,,,,,,
Amboy,[],,,,,,,,34.80592,-92.29154,Amboy
America,[],,,,,,,,37.13838,-89.12368,America
Amherstburg,[],,08,,,,,,42.10009,-83.09985,Amherstburg
Anahochquaga,[],,,,,,,,,,
Anahochquaga modern Ouaguaza,"[""also Ann'hochguage"", 'Anagotware']",007,NY,,,,,,,,
Anahochquaga on Susquehanna River,"['Anahochquage', 'Annochouaja']",,,,,,H,,,,
Anajot,[],,NY,,,Oneida capit also | Tuscarora County,,,,,
Ancaster,[],,08,,,,,,43.20917,-80.01194,Ancaster
Annapolis,[],,MD,,,,,,38.97859,-76.49184,Annapolis
Annaquachticok,"['Annachticok', 'Annacticok']",,CT,,,alternate name of Westenhuc,,,,,
Annenthal probably Mahantango Creek,"[""Anna's Valley""]",107,PA,,,,H,,,,
Anohochquage,[],,,,,,,,,,
Anokran,[],,,,,place between Shekomeko and Wehtak,,,,,
Antigua,[],,,,,West Indies,,,,,
Appelisikook,[],,OH,,,Walhending area,,,,,
Armstrong's Town,[],,,,,,,,,,
Asscennessik,['Assinnissink'],,,,,,,,,,
Asscennessink,[],,,,,,,,,,
Assunnunk,[],,,,,,,,,,
Assunnunk on Hocking River,"['Assenunk', 'Aszennunk', 'Achsunnunk']",,OH,,,,H,,,,
Astrachan,[],,,RU,,,,,59.62276,33.66004,Astrachi
Asylum,[],015,PA,,,,,,41.71313,-76.33355,Asylum
Atlantic Ocean,['Coast'],,,,,,H,,48.54997,-55.98154,Atlantic Lake
Attike,"['Attique', 'Kittanning', 'Pennsylvania']",,,,,,,,40.81645,-79.52199,Kittanning
Au Glaise River,[],,OH,,,,H,,,,
Augusta,[],023,KY,,,,,,38.77174,-84.00576,Augusta
Austria,[],,,AT,,,,,,,
Aux Sables River,[],,,,,Sand River | Ontario called Negausibis,H,,,,
Awassantachque,[],,,,,Awossanttaque | Awossantagque,,,,,
Balings Kill,[],,PA,,,probably Carbon County,,,,,
Baltimore,[],,MD,,,,,,39.29038,-76.61219,Baltimore
Barbados,[],,,BB,,West Indies,,,13.16453,-59.55165,Barbados
Barby,[],,,DE,,Moravian Center in Germany,,,51.96711,11.88261,Barby
Barton,[],,08,,,,,,43.23341,-79.86633,Barton
Bass Islands,[],,,,,Lake Erie | Middle and South,,,41.68338,-82.81241,Bass Islands
Bath,[],101,NY,,,,,,42.33702,-77.31776,Bath
Batomick,[],,,,,,,,,,
Bavianskleof,[],,,,,Cape Colony,,,,,
Bay of Quinte,[],,,,,Lake Ontario,H,,44.15012,-77.24946,Bay of Quinte
Beard's Tavern,[],,NY,,,New Jersey and Warwick | place between Hope,,,,,
Beaver,['Beavertown'],,PA,,,,,,40.69534,-80.30478,Beaver
Beaver Creek,['Little Beaver River'],,OH,,,Little,H,,39.94145,-83.76132,Beaver Creek
Beaver Dam,[],,,,,,,,45.78915,-66.69517,Beaver Dam
Beaver River,[],,,,,Great | Creek,H,,53.73547,-60.93575,Beaver River
Bedford,[],009,PA,,,,,,40.01869,-78.50391,Bedford
Bedford,[],,MA,,,England,,,42.49065,-71.27617,Bedford
Bedford County,[],009,PA,,,,,,40.00656,-78.49032,Bedford County
Beersheba,[],,,,,,,,35.03791,-81.31925,Beersheba
Beersheba,[],157,OH,,,near Gnadenhutten,,,,,
Belldown,[],,08,,,Chenaie ecartee | Scottish settlement,,,,,
Belle River,[],,,,,Western Ontario,H,,45.97366,-62.84619,Belle River
Belmont County,[],013,OH,,,,,,40.0158,-80.98854,Belmont County
Benigna Creek,['?'],,,,,Schuylkill County Pennsylvania | Mahantango Creek,H,,,,
Berbice,[],,,GY,South America,British Guyana,,,5.45,-57.95,Berbice
Berks County,['Berkshire'],011,PA,,,,,,40.4163,-75.926,Berks County
Berlin,[],,,DE,,,,,54.03573,10.44987,Berlin
Bern,[],,,CH,,,,,46.94809,7.44744,Bern
Berthelsdorf,[],,,DE,,near Herrnhut,,,51.04679,14.22197,Berthelsdorf
Bethabara,[],,NC,,,,,,35.00704,-83.66239,Bethabara Church
Bethanion,[],,NC,,,,,,,,
Bethel,[],011,PA,,,,,,40.47454,-76.29134,Bethel
Bethel on the Swatara,[],011,PA,,,,,,,,
Bethlehem,[],,PA,,,Moravian Center,,,40.86173,-78.73031,Bethlehem
Bethlehem,[],,NH,,,Palestine,,,44.28034,-71.68814,Bethlehem
Big Beaver Creek,[],,PA,,,,H,,39.94816,-76.25162,Big Beaver Creek
Big Sodus Bay,[],,NY,,,,H,,43.33817,-76.72821,Blind Sodus Bay
Big Stillwater Creek,[],157,OH,,,,H,,,,
Big Stones Creek,[],,OH,,,presumably Toussaint River,H,,,,
Big Yellow Creek,[],,OH,,,,H,,,,
Big-Tree,[],,NY,,,Genesee,,,,,
Bigbear Creek,[],,08,,,,H,,48.862,-84.49419,Bear Creek
Black Creek,[],,,,,tribut. of St. Marys River,H,,46.2501,-62.44864,Black Creek
Black River,['presumably'],,OH,,,,H,,41.47282,-82.18404,Black River
Blanched's Forks,[],063,OH,,,,,,,,
Blue Mountains,[],,PA,,,,T,,40.12453,-77.66638,Blue Mountain
Blue Mountains,[],055,PA,,,,T,,39.95037,-77.93667,Big Mountain
Boomerstown,[],059,OH,,,,,,,,
Boston,[],,MA,,,,,,42.35843,-71.05977,Boston
Bound Brook,['Bambrug'],035,NJ,,,,,,40.56844,-74.53849,Bound Brook
Boundbrook,['Baumbrook'],,NJ,,,,,,,,
Brandt's Town,[],,08,,,Mohawk village near Brantford,,,,,
Brant's Town,"['probably Brantford', 'Ontario']",,,,,,,,49.25014,-84.49983,Ontario
Brantford,['called Brownstown'],,08,,,Brand's Town | Mohawk Town,,,43.1668,-80.29967,Brantford
Braunschweig,[],,,,,Brunschwig,,,,,
Breakneck Hill,[],,PA,,,Susquehanna Valley,T,,,,
Bremen,[],,,DE,,,,,53.08333,8.83333,Bremen
Bristol,[],017,PA,,,,,,40.10067,-74.85183,Bristol
British Dominions,[],,,,,,,,,,
Broad Mountain,[],,,,,Pocono Plateau,T,,39.98231,-77.8225,Broad Mountain
Brodhead near Dansbury,['Broadhead'],089,PA,,,,,,,,
Brotherton,['Brothertown'],,NY,,,Mohawk River,,,42.94868,-75.42128,Brothertown
Brownstown,[],,MI,,,mouth of Huron River below Detroit,,,42.07782,-83.18937,Brownstown Creek
Buchkabuchka Creek Pohopoco Creek,['also Bugggabuchga'],025,PA,,,,H,,,,
Bucks County,[],017,PA,,,,,,40.33694,-75.10687,Bucks County
Buffalo,[],,NY,,,,,,42.88645,-78.87837,Buffalo
Buffalo,[],009,WV,,,Wellsburg | also Charlestown,,,,,
Buffalo Creek,[],121,NY,,,,H,,,,
Buffalo Creek,[],009,WV,,,,H,,40.26451,-80.61535,Buffalo Creek
Burlington,[],,08,,,,,,43.38621,-79.83713,Burlington
Burlington,[],,NJ,,,,,,40.07122,-74.86489,Burlington
Butler County,['Fort Hamilton'],017,OH,,,,,,39.43865,-84.57566,Butler County
Butz Ferry,[],,PA,,,probably on Youghiegheny River,,,,,
Cajihaga,[],,,,,,,,,,
Caledonia,[],051,NY,,,,,,42.97312,-77.85278,Caledonia
California,[],,CA,,,,,,39.00934,-120.77076,California
Cambridge,[],059,OH,,,,,,40.03118,-81.58846,Cambridge
Camden,[],,08,,,,,,42.56678,-82.06649,Camden
Camp's Mill,"[""Campen's mill""]",,NY,,,,,,,,
Canaan,[],005,CT,,,,,,42.02731,-73.32928,Canaan
Canada,[],,,CA,,,,,60.10867,-113.64258,Canada
Canajoharie Montgomery County,['Kannatschochori'],,NY,,,,,,,,
Canajoharis,"['Connitschochery', 'Conitshaggery']",057,NY,,,,,,42.90563,-74.57181,Canajoharie
Canamek,[],,,,,,,,,,
Canandagua,[],069,NY,,,,,,42.87423,-77.28804,Canandaigua
Canaseraga Creek,[],051,NY,,,,H,,42.75534,-77.84056,Canaseraga Creek
Canatschochari,[],,,,,,,,,,
Canegotschik,[],,,,,,,,,,
Canfield Mahoning County,['Canefield'],,OH,,,,,,,,
Canhawa,[],,,,,,,,,,
Caniseraga,[],,,,,,,,,,
Cannitschochery,[],,,,,,,,,,
Canoos,['Oil Creek'],,NY,,,,,,42.16979,-78.38891,Oil Creek
Canoos,['Oil Creek'],,PA,,,,,,39.86427,-76.88998,Oil Creek
Canterbury,[],,,,,England,,,45.89541,-67.46781,Canterbury
Canton,[],,OH,,,,,,40.79895,-81.37845,Canton
Cape Cod,[],,MA,,,,T,,41.6862,-70.24308,Cape Cod
Cape of Good Hope,[],,,ZA,,,T,,-34.35027,18.47909,Cape of Good Hope
Captives' Town,[],,OH,,,Upper Sandusky,,,,,
Caribbean Islands,[],,,,,,,,27.63059,-97.30332,Caribbean Park
Carleton Island,[],,,,,Lake Ontario,,,58.05029,-102.01744,Carleton Island
Carlisle,[],041,PA,,,,,,40.20148,-77.18887,Carlisle
Carolina,[],,,,,Colony,,,31.24073,-86.52774,Carolina
Caskaskung,[],,,,,,,,,,
Catores' Creek,[],,,,,,H,,,,
Catskill,[],,NY,,,County | Greene,,,42.21731,-73.86457,Catskill
Catskill Mountains,[],,NY,,,,T,,42.25036,-74.24987,Catskill Mountains
Catters Kill,['Kaders Kill'],039,NY,,,,,,,,
Cawnschannek,"['Cawunschhannek', 'Cawinschhannek', 'Kawunsohhannek']",,,,,place on Allegheny River,,,,,
Cawunschannek,[],,,,,,,,,,
Cayahaga,[],,,,,,,,,,
Cayuga,['town'],,NY,,,,,,42.91896,-76.72634,Cayuga
Cayuga Lake,[],,NY,,,,,,42.58171,-76.63492,Cayuga Lake
Cayuga Town,['Kajugu'],,08,,,Grand River,,,,,
Cedar Point,[],095,OH,,,,S,,,,
Cedar Point,[],123,OH,,,near Toledo | west side of Lake Erie,S,,,,
Chambers' Ferry,[],,,,,crossing point of the Susquehanna below Harrisburg,,,,,
Chambers' Mill,[],043,PA,,,Fishing Creek,,,,,
Charleston,[],009,WV,,,Wellsburgs | also Buffalo | Charlestown,,,,,
Chartiers Creek,[],003,PA,,,,H,,40.46507,-80.05283,Chartiers Creek
Checomeco,[],,,,,,,,,,
Chemung,"['Schammungk', 'Schommunk', 'Shammunk', 'Shommunk', 'Uschummo', 'Uschommung']",015,NY,,,town in Chemung County,,,42.00841,-76.62384,Chemung
Chemung River,['Schamung'],,NY,,,,H,,,,
Chenaille ecarte,"['Sneicaorty', 'Sneycardy', 'Schenyacarty']",,,,,correctly Chenal ecarte River and area in Western Ontario,,,,,
Chenango,[],,,,,,,,30.33242,-91.25622,Chenango
Chenango,"['Sheninga', 'Zeninga', 'Zeninge', 'Zenenge', 'Zeningka']",017,NY,,,River and Area,,,,,
Chenango,['Zeninge'],007,NY,,,,,,,,
Chenessie River,[],,,,,,H,,,,
Cherokee River,[],,,,,,H,,40.41672,-83.79521,Cherokee Run
Chester,[],,PA,,,near Philadelphia,,,39.84967,-75.35707,Chester
Chester County,[],029,PA,,,,,,39.97314,-75.74845,Chester County
Chestnut Hill,[],,,,,,T,,39.65094,-75.77049,Chestnut Hill
Chestnut Hill near Gnadenhutten,['Kastanienberg'],025,PA,,,,T,,41.04148,-75.63741,Chestnut Ridge
Chestnut Ridge,[],129,PA,,,,,,,,
Chillicothe,[],,OH,,,,T,,,,
Chippawa,['Chippaway'],,08,,,,,,43.0571,-79.04717,Chippawa
Chippewa,[],,,,,,,,44.49736,-76.82644,Chippewa
Chippewa Creek,[],,08,,,near Niagara,H,,46.3001,-79.46633,Chippewa Creek
Chippewa Town,[],,08,,,,,,44.49736,-76.82644,Chippewa
Chitqueu,[],,OH,,,Deep River,,,,,
Chotusitz,[],,,,,Bohemia,,,,,
Christian Spring,[],,PA,,,,,,40.73426,-75.34074,Christian Springs
Christiansbrunn,['Christian Spring'],,PA,,,place near Nazareth,,,39.95483,-75.99689,Christiana
Christianspring,[],,,,,,,,,,
Cincinnati,[],,OH,,,,,,39.12711,-84.51439,Cincinnati
Cleveland,['Cleveland'],,OH,,,,,,41.4995,-81.69541,Cleveland
Clinton River,[],,MI,,,,H,,42.59476,-82.77547,Clinton River
Codorus Creek,['Catores'],133,PA,,,,H,,40.05843,-76.64413,Codorus Creek
Cohocten Creek,[],101,NY,,,,H,,,,
Columbia,[],061,OH,,,,,,39.11173,-84.43466,Columbia
Coneecachegue [?] Franklin County,['Canjoschikker'],,PA,,,,,,,,
Conestoga,[],071,PA,,,,,,39.94066,-76.34635,Conestoga
Conewago,[],051,NY,,,Avon,,,,,
Conewago Hills,[],043,PA,,,,T,,,,
Conitshaggery,[],,,,,,,,,,
Connecticut,[],,CT,,,,,,41.66704,-72.66648,Connecticut
Connytown,[],071,PA,,,modern Bainbridge,,,,,
Conrad Weiser's Creek,['Tulpehocken Creek'],011,PA,,,,H,,40.34454,-75.95021,Tulpehocken Creek
Copenhagen,[],,,DK,,,,,55.67594,12.56553,Copenhagen
Corentyn,[],,,SR,South America,,,,,,
Cornelius Creek,[],,,,,tributary to Muskingum River,H,,34.71259,-87.84614,Cornelius Creek
Cornwall,[],005,CT,,,,,,41.84371,-73.32928,Cornwall
Coschachkung,[],,,,,Coschachkunk,,,,,
Coschkoschingk,[],,,,,,,,,,
Coschosching,[],,,,,Coschkoschunk,,,,,
Coshocton,[],,,,,former Goschachgunk,,,40.27202,-81.85958,Coshocton
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,NJ,,,,,,39.85206,-74.1932,Cranberry Hill
Credit River,[],,08,,,,H,,43.55206,-79.59372,Credit River
Croton River,['Groodens Revier'],,,,,,H,,41.18371,-73.87958,Croton River
Crown Point,[],031,NY,,,,S,,,,
Cumberland County,[],041,PA,,,,,,40.16363,-77.26555,Cumberland County
Cunameg,[],,,,,,,,,,
Cunningham Island,[],,08,,,probably Pelee Island,,,45.4168,-75.74935,Cunningham Island
Cushietunk,"['Geschiachton', 'Gechachton']",127,PA,,,near Milenville,,,,,
Cuyahoga,['Cayahaga'],,OH,,,River and area,,,,,
Cuyahoga Old Town,[],,,,,,,,,,
Cuyahoga River,[],,,,,,H,,41.50366,-81.71235,Cuyahoga River
Cuyahoga River and place,"['Cajihaga', 'Cayahaga', 'Gajahaga']",,OH,,,Akron,H,,41.50366,-81.71235,Cuyahoga River
Damascus,[],,,,,8 miles from Goschgoschunk | place on Allegheny River,,,45.462,-65.80302,Damascus
Danbury,['Tenburey'],001,CT,,,,,,41.39482,-73.45401,Danbury
Dansburry,[],,,,,,,,,,
Dansburry,['Danesberg'],089,PA,,,modern Stroudsburg,,,,,
Dansville,['Danville'],051,NY,,,,,,42.5609,-77.69611,Dansville
Danzig,[],,,DE,,,,,,,
Dartmouth College,[],,,,,,,,43.70035,-72.28641,Dartmouth College
Dartmouth College,[],,NH,,,,,Hanover,43.70035,-72.28641,Dartmouth College
Dauphin County,['Dauphiny'],043,PA,,,,,,40.41544,-76.77947,Dauphin County
Davall Academy,[],,,,,England,,,,,
DeTrenche,[],,,,,,,,,,
Deep River,[],,OH,,,Chitquou,H,,,,
Deer Creek,[],129,OH,,,,H,,39.61213,-83.24082,Deer Creek Lake
Delaware River,[],,,,,Water Gap,H,,39.43261,-75.52881,Delaware River
Delaware River Valley,[],,,,,,T,,41.36509,-74.68961,Delaware River Gorge
Delaware Town,[],,IN,,,Upper Sandusky & White River,,,,,
Delaware Township,[],,08,,,Thames River,,,,,
Denmark,[],,,DK,,,,,,,
Derby,[],009,CT,,,,,,41.32065,-73.089,Derby
Detroit,[],,MI,,,City and Fort,,,42.33143,-83.04575,Detroit
Detroit River,[],,,,,,H,,42.04116,-83.14986,Detroit River
Detroit River Island,[],,,,,,H,,42.04116,-83.14986,Detroit River
Deykert's Place,[],,,,,,,,,,
Diaugu,[],,,,,Diaoju,,,,,
Dickenson College,[],,PA,,,Carlisle,,,,,
Double Eagle,['Doppeladler'],107,PA,,,Klinglerstown,,,,,
Dover,[],027,NY,,,,,,,,
Dry Ridge,[],,PA,,,,,,39.98091,-78.65807,Dry Ridge
Dublin,[],,,IE,,,,,53.33306,-6.24889,Dublin
Duncan's Falls,[],119,OH,,,,H,,,,
Dundas,[],,08,,,,,,43.27291,-79.94216,Dundas
Dungannon,[],,08,,,,,,45.05012,-77.7495,Dungannon
Dutchess County,[],027,NY,,,,,,41.76515,-73.74286,Dutchess County
East Indies,[],,,,,,,,42.06318,-73.19284,East Indies Pond
East Jersey,[],,,,,,,,,,
Easton,[],,PA,,,,,,41.12728,-79.54088,Easton
Echpalawehund's Town,[],,OH,,,Delaware Settlement,,,,,
Echquitehanok,[],,,,,,,,,,
Elisabeth Point,[],,NJ,,,,S,,,,
Elizabeth,['Elizabeth Point'],,NJ,,,,,,40.66399,-74.2107,Elizabeth
Elizabeth Point,[],,NJ,,,,S,,,,
Elizabethtown,[],071,PA,,,,,,40.15287,-76.60275,Elizabethtown
Emmaus,[],,PA,,,,,,40.53954,-75.49685,Emmaus
England,[],,,,,,,,34.54426,-91.96903,England
Ephrata,[],071,PA,,,,,,40.17982,-76.17884,Ephrata
Eschebeke,[],,,,,possibliy Nescopeek,,,,,
Eskenne River,['Hern'],,,,,,H,,,,
Esopus,[],111,NY,,,Sopus & Kingston & Kingston & Kingston | Sopus,,,41.82787,-73.96514,Esopus
Esopus New York,['Sopus'],,,,,,,,,,
Europe,[],,,,Europe,,,,45.27262,-86.98636,Europe Lake
Eva Creek,['Shamokin'],097,PA,,,Augusta Township,H,,,,
Eva Creek,[],,,,,,H,,51.03466,-127.34628,Eva Creek
Fairfield,['Old Fairfield'],,CT,,,,,,41.14121,-73.26373,Fairfield
Falls of the Ohio,[],,,,,,H,,38.27201,-85.75218,Falls of the Ohio
Fannetsburg,[],055,PA,,,,,,40.06509,-77.82944,Fannettsburg
Farmington,"['Firmingtown', 'Vermonthaun']",003,CT,,,,,,41.71982,-72.83204,Farmington
Fatter Lane,[],,,,,London,,,,,
Fayette County,[],051,PA,,,,,,39.9199,-79.64737,Fayette County
Ferry House,[],,,,,Thames River,,,41.68611,-73.89444,Ferry House
Feuerlein,['possibliy Fire line'],,,,,,,,,,
Fighting Island,[],,,,,below Detroit,,,42.21679,-83.11655,Fighting Island
Filkentown,[],027,NY,,,,,,,,
Firelands,[],,OH,,,Erie and Huron County,,,,,
Fish Kill,[],,PA,,,probably Northampton County,,,,,
Fish Kill,[],027,NY,,,,,,,,
Fish-Kill,[],027,NY,,,,,,,,
Forks of the Delaware,[],095,PA,,,,,,,,
Forks of the Delaware,[],,,,,,,,,,
Forks of the Road,[],,,,,,,,36.01201,-89.15896,Forks of the River
Fort Adams,['also Fort St. Marys'],107,OH,,,,,,,,
Fort Allen,[],025,PA,,,modern Weissport & Allentown,,,,,
Fort Carteret,[],,,,,,,,,,
Fort Charter,['properly Charters'],,,,,,,,,,
Fort Cumberland,[],,MD,,,,,,39.65056,-78.76583,Fort Cumberland (historical)
Fort Defiance,[],039,OH,,,Maumee River,,,,,
Fort Detroit,[],,,,,,,,,,
Fort Edward,[],115,NY,,,,,,43.26702,-73.58456,Fort Edward
Fort Erie,[],,08,,,,,,42.90012,-78.93286,Fort Erie
Fort Hamilton,[],,,,,,,,40.61872,-74.0332,Fort Hamilton
Fort Harmer,[],,OH,,,mouth of Muskingum River,,,39.40972,-81.45833,Fort Harmer (historical)
Fort Herkemen,[],,NY,,,Herkimer,,,,,
Fort Hunter,[],,NY,,,,,,42.74313,-73.94262,Fort Hunter
Fort Kanawha,['Canhawa'],,,,,,,,,,
Fort Laurena,[],,,,,,,,40.63978,-81.45762,Fort Laurens Cemetery
Fort Laurens,"['Laurence', 'Lawrence']",,OH,,,near Bolivar,,,40.63978,-81.45762,Fort Laurens Cemetery
Fort Ligonier,[],,,,,,,,40.24063,-79.23725,Fort Ligonier
Fort Littleton,[],,PA,,,Futon County,,,40.06286,-77.96361,Fort Littleton
Fort Loudoun,[],055,PA,,,,,,39.91481,-77.90472,Fort Loudon
Fort Malden,[],,08,,,,,,,,
Fort McIntosh,[],,,,,Ohio River at Beaver Creak,,,27.51585,-99.52115,Fort McIntosh
Fort McIntosh,[],007,PA,,,,,,,,
Fort McIntosh,[],,,,,Ohio River,,,27.51585,-99.52115,Fort McIntosh
Fort Meigs,[],,OH,,,Weed County | Maumee River rapids,,,41.55172,-83.64021,Fort Meigs Cemetery
Fort Miami,[],,OH,,,Weed County | Maumee River rapids,,,,,
Fort Niagara,[],063,NY,,,near Youngstown,,,,,
Fort Norris,[],089,PA,,,,,,,,
Fort Ontario,[],,NY,,,Oswego,,,43.46833,-76.50583,Fort Ontario Cemetery
Fort Oswego,[],,NY,,,,,,43.46139,-76.51444,Fort Oswego (historical)
Fort Pitt,[],,,,,,,,53.65018,-109.75154,Fort Pitt
Fort Plain,[],,NY,,,,,,42.93146,-74.62264,Fort Plain
Fort Schlosser,['Slosser'],063,NY,,,,,,,,
Fort Schlosser,[],,,,,,,,,,
Fort Schuyler,"['Skulker', 'Skuyler']",,NY,,,Utica,,,43.10229,-75.21905,Fort Schuyler Park
Fort Stanwix,[],,NY,,,Rome & original name of Fort Schuyler,,,43.21694,-75.45333,Fort Stanwix Park
Fort Wabash,"['Vincennes', 'Indiana']",,,,,,,,38.67727,-87.52863,Vincennes
Fort Wayne,[],,IN,,,Kikeyuak | also Gigeyunk,,,41.1306,-85.12886,Fort Wayne
Forty Mile Creek,[],,,,,,H,,43.20011,-79.54961,Forty Mile Creek
Four Brothers,['Vier Bruder'],,,,,,,,49.23299,-121.65255,Four Brothers
Four Mile Creek,[],017,OH,,,,H,,39.42506,-84.54356,Four Mile Creek
France,[],,,FR,,,,,45.60366,-0.84802,France
Franckfurth,['Frankford'],101,PA,,,,,,40.01384,-75.07859,Frankford
Frederickstown,['Friedrickstown'],091,PA,,,,,,40.30288,-75.52935,Frederick
Fredrickstown,[],,,,,,,,,,
Freehold,[],,NY,,,Greens County,,,42.35925,-74.04986,Freehold
Freehold,[],025,NJ,,,,,,40.26011,-74.27376,Freehold
Frenchtown,[],,PA,,,,,,41.612,-80.02172,Frenchtown
Friedenshutten,[],,PA,,,Bethlehem & Wyalusing | on Susquehanna,,,40.73454,-75.61602,Friedens
Friedensth also,[],,,,,,,,,,
