place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Province Island,[],,Pennsylvania,,,Philadelphia & Philadelphia,
Puchcapuch,['Puchkapuchka'],,,,,,
Put in Bay,['Pudding Bay'],,,,,Ohio Georgraphic Names | Lake Eire,H
Quage Town,[],,Ontario,,,Grand River,
Quahen,[],,,Canada,,,
Quaker Hill,[],,Connecticut,,,,T
Quebec,[],,Quebec,Canada,,,
Quechquetank,['Wechquetenk'],Monroe County,Pennsylvania,,,,
Queenston,['Queenstown'],,Ontario,,,,
Quelutumen,[],,Pennsylvania,,,place on Susquehanna River,
Quenischachachgeek,[],,,,,,
Quenischachchachchqueh,[],,,,,,
Quenischachchachqueh,[],Lycoming County,Pennsylvania,,,West Branch | Susquehanna,
Quitahannek Creek,[],,Ohio,,,Richland or Ashland County,H
Quittoppehille,[],,Pennsylvania,,,Lebanon,T
Race Hill,[],,,,,,T
Raisin River,"['Reason', 'Raisen', 'Rissin']",,Michigan,,,,H
Rapide,[],,Ontario,,,probably on Jongquakamik River,
Rapids,[],,Ohio,,,probably Grand Rapids | Maumee River,
Ravenna,[],,Ohio,,,,
Rays Hill,['Race Hill'],Bedford County,Pennsylvania,,,,T
Reading,[],,Pennsylvania,,,,
Red Hook,[],Dutchess County,New York,,,,
Redding,[],Fairfield County,Connecticut,,,,
Redstone,[],,Pennsylvania,,,now Bedford | probably Rays Town,
Retrenche River,['Thames'],,Ontario,,,same as Thames River,H
Rheimstown,[],,Pennsylvania,,,probably in Pennsylvania,
Rhine River,[],,,Germany,,,H
Rhinebeck,['Reinbeck'],Dutchess County,New York,,,,
Rhode Island,[],,Rhode Island,,,,
River Rouge,"['Reuche', 'River Bush']",,Michigan,,,,H
Rixdorf,['Rucksdorf'],,,Germany,,,
Rockills Mill,[],,,,,,
Rocky Hill,[],,New Jersey,,,,T
Rocky Point,[],Ottawa County,Ohio,,,presumably Scott Point & 16 miles from Sandusky | probably Scott Point,S
Rocky River,[],Cuyahoga County,Ohio,,,,H
Rolof Janssens Kill,[],Columbia County,New York,,,,
Ronchey's Tavern,"[""Runchey's""]",,,,,,
Ronneburg,[],,,Germany,,,
Rose,[],,Pennsylvania,,,Nazareth | The,
Rowlya Creek,[],Litchfield County,Connecticut,,,,H
Rush Creek,[],Fairfield County,Ohio,,,,H
Saddle,[],,,,,,
Saginaw,"['Sackina', 'Sakina']",,Michigan,,,,
Sakapochk,[],,Pennsylvania,,,,
Sakechnak Creek,[],Carbon County,Pennsylvania,,,,H
Sakechnak Creek Carbon County,"['also Sankechnank', 'Sakekenack', 'Sankinghnack', 'Sankegenahk', 'Sanschanachke', 'etc.']",,Pennsylvania,,,,H
Sakunk,['Gakung'],,Pennsylvania,,,on Big Beaver Creek & place at the mouth of Beaver Creek & place at confluence of the Beaver River with the Ohio,
Salem,[],Sandusky County,Ohio,,,,
Salem,[],Tuscarawas County,Ohio,,,Muskingum River,
Salem,[],,North Carolina,,,North Carolina Moravian center,
Salem,[],,Ohio,,,,
Salisbury,[],,Connecticut,,,,
Salisbury,[],Somerset County,Pennsylvania,,,,
Salisbury,[],Litchfield County,Connecticut,,,,
Sally Hand,[],,,,,,
Salmons Creek,[],,New York,,,between Genessie River and Sodus Point | Lake Ontario,H
Salt Creek,[],Muskingum County,Ohio,,,,H
Salt River,[],,Michigan,,,west side of Lake St. Clair | Siwatakanisipi,H
Salt Spring,"['Salineville', 'Ohio?']",,,,,,
Saltlick,[],,,,,not far from Goshen,
Sambesink,"['Armstrongtown', 'Sambeing']",,Ohio,,,near Mansfield | Greentown,
Sandusky,[],,Ohio,,,River and town,
Sandusky Bay,"['St. Deske', 'Little Lake']",,Ohio,,,,H
Sandusky Island,[],,,,,,
Sandusky Plains,[],,Ohio,,,,
Sandusky Point,[],,Ohio,,,,S
Sandusky River,['St. Dusky River'],,Ohio,,,,H
Sandwich,[],,Ontario,,,,
Sandy Creek,[],,Ohio,,,,H
Saratoga,[],,New York,,,,
Sarepta,[],,,Russia,,on Volga River,
Sasena,[],,,,,,
Satked,[],Litchfield County,Connecticut,,,,
Saucen,"['Saucena', 'Sacena']",Lehigh County,Pennsylvania,,,,
Sax's Tavern,[],,,,,,
Saxony,[],,,,,,
Scatticock,[],,Connecticut,,,,
Scattigok,['Scattacook'],,Connecticut,,,,
Scha-mung,['Delaware'],,,,,horn,
Schammungk,[],,,,,Schommunk,
Schatticock,"['Shattegock', 'Shattigok', 'Shattegook', 'Skattegock', 'Skatchkock']",Rensselaer County,New York,,,,
Schatticook,[],,New York,,,,
Schechschequannink Bradford County,['Tschechschequannink'],,Pennsylvania,,,,
Schechschequanunk,[],,Pennsylvania,,,place on Susquehanna,
Schechschiquanunk,[],,,,,,
Schechschiquanunk on Susquenanna River,['Schechaschequani'],Bradford County,,,,Pennsylvania Geographic Names,H
Schecomeco,[],,,,,,
Schenechtady,[],,New York,,,,
Schenechten,[],,,,,,
Schenectady,['Schenechten'],,New York,,,,
Schih-shi-quan-nink,[],,,,,,
Schkipoakanink,[],,Ontario,,,place on Schneyecarty,
Schneycarty,[],,,,,,
Schoharie,"['Schochcheri', 'Schochery', 'also Sgochari', 'Schochari']",,New York,,,,
Schoharie New York,['Schocharie'],,,,,,
Schonbrunn,[],,Ohio,,,on Muskingum River,
Schoneck,[],,Pennsylvania,,,,
Schuylkill River,[],,Pennsylvania,,,,H
Schwego,[],,Ontario,,,Grand River,
Scioto River,['Sioto'],,Ohio,,,,H
Scotland,[],,,,,,
Seabrook,[],Rockingham County,New Hampshire,,,,
Second Great Creek,[],,,,,,H
Seneca Territory,[],,New York,,,,L
Seven Ranges,[],,Pennsylvania,,,,
Shammunk,[],,,,,Shommunk,
Shamokin,"['Shomokin', 'Shamoko', 'Shomoko', 'Schomoke', 'Schomoko']",,Pennsylvania,,,place on Susquehanna River,
Shamokin,['also Shomoko'],Northumberland County,Pennsylvania,,,Sunbury,
Shamokin Creek,[],Northumberland County,Pennsylvania,,,,H
Shamokin Island,[],Northumberland County,Pennsylvania,,,,
Sharon,[],,Ohio,,,Tuscarawes County,
Sharon,[],Litchfield County,Connecticut,,,,
Shawnee Town,[],,,,,White River,
Shawnee Towns,[],,Ohio,,,Au Glaise River,
Shecomeco,[],Dutchess County,New York,,,,
Shecomeko,['Checomeko'],,New York,,,,
Sheffield,[],Berkshire County,Massachusetts,,,,
Shekomeko,['Checomeko'],Dutchess County,New York,,,,
Shekomeko Dutchess County,"['Shecomeco', 'Checomeco']",,New York,,,,
Shenango,[],,,,,,
Shenango River and area,"['Shenenge', 'Sheninge']",,Pennsylvania,,,Mercer and Lawrence County,L
Shenenge,[],Lawrence County,Pennsylvania,,,Beaver River,
Sheweko,[],,,,,place near Shekomeko,
Shippensburg,[],Cumberland County,Pennsylvania,,,also Shippenstown,
Shippenstown,[],,,,,,
Shommunk,[],,,,,,
Shomokin,[],,Pennsylvania,,,,
Shomoko,[],,,,,,
Sichel's Tavern,[],,,,,,
Sichem,['Oblong'],Dutchess County,New York,,,,
Sideling Hill,[],Fulton County,Pennsylvania,,,,T
Siis-queh-han-neek,[],,,,,,
Sikhewo,['Sikhewunk'],,Pennsylvania,,,above Kaskaskunk | place on Beaver Creek,
Sikhewunk,[],Muskingum County,Ohio,,,Salt Creek Township | Chandlersville & place on Muskingum River,
Silesia,[],,,Germany,,,
Sinking Spring,[],Berks County,Pennsylvania,,,,
Siwatakanisipi,[],,,,,West side of Lake St. Clair | Salt River,
Six Nations towns,[],,Ontario,,,Grand River,
Skehantowa Shawnee center on the Susquehanna,"['Tschehantowah', 'Wyoming']",,,,,,
Skipra[?],[],Montgomery County,Pennsylvania,,,,
Snake Spring,[],Bedford County,Pennsylvania,,,,
Sneicaerty,[],,,,,Schney e carty | Schneyecarty | Schnei Kaerty | Snycardy | Sneicardy,
Snycardy,[],,,,,,
Socana,[],,,,,probably a river,
Sodus Point,[],,New York,,,,S
Somerset,[],Perry County,Ohio,,,,
Somerset,[],Somerset County,Pennsylvania,,,,
Somerset County,[],Somerset County,,,,,
Sopus,[],,,,,,
South America,[],,,,South America,,
South Beaver,[],Beaver County,Pennsylvania,,,,
South Branch,['probably Ohio River'],,,,,,
South Carolina,[],,South Carolina,,,,
South Huron Strait,['Straight'],,,,,,
South Liberty,[],,Pennsylvania,,,foot of Laurel Hill,
South Sea Islands,[],,,,,,
Southbury,[],New Haven County,Connecticut,,,,
Spain,[],,,Spain,,,
Spangenberg,[],Northumberland County,Pennsylvania,,,,
Spanish Colonies,[],,,,,,
Spanish Territory,[],,,,,,L
Spitzborg,[],Carbon County,Pennsylvania,,,,
Spring Creek,[],Monroe County,Pennsylvania,,,near Wechquetank,H
Spring Garden,[],,,,,,
Springfield,[],Springfield,Ohio,,,,
Springplace,[],,Georgia,,,,
St. Clair River,[],,,,,,H
St. Croix,['Crux'],,,,,West Indies & West Indies,
St. John,['Jan'],,,,,West Indies & West Indies & West Indies,
St. Joseph River,[],,,,,Ohio and Indiana,H
St. Lawrence River,[],,,,,,H
St. Marys,[],,Ohio,,,Au Glaize County,
St. Marys River,[],,,,,,H
St. Thomas,[],,,,,West Indies,
Staten Island,[],,New York,,,,
Steuben County,[],Steuben County,New York,,,,
Steubenville,[],,Ohio,,,,
Stillwater Creek,[],,,,,,H
Stillwater Creek,[],Tuscarawas County,Ohio,,,Harrison and Tuscarawas County,H
Stissing Mountain,['Stissick'],Dutchess County,New York,,,,T
Stockbridge,['Old'],Berkshire County,Massachusetts,,,,
Stone Creek,[],Tuscarawas County,Ohio,,,,H
Stone Creek,"['probably Rocky River', 'Ohio']",,,,,,H
Stone River,['Achsin'],,,,,,H
Stony Creek,[],Logan County,Ohio,,,,H
Stony Creek,[],Monroe County,Michigan,,,,H
Stony Point,[],Monroe County,Michigan,,,,S
Stoystown,[],Somerset County,Pennsylvania,,,,
Straits,[],,,,,between Lake Erie and Lake Huron,
Strasburg,[],Franklin County,Pennsylvania,,,,
Stratford,[],Fairfield County,Connecticut,,,,
Stromness,[],,,,,Island near mouth of St. Clair River,
Stroudsburg,"['also Dansbury', 'Danesberg']",,Pennsylvania,,,,
Sucachqualle's Town,[],,Ohio,,,,
Sugar Creek,[],Carroll County,Ohio,,,tributary of Tuscarawas River,H
Suriname,[],,,Suriname,South America,,
Susquehanna,[],,Pennsylvania,,,River and area & West Branch & North Branch,
Susquehanna River,[],,Pennsylvania,,,,H
Susquehanna River and Valley,[],,,,,,T
Susquehanna River and area,[],,Pennsylvania,,,,L
Sussex County,[],Sussex County,New Jersey,,,,
Swan Creek,[],,Ontario,,,Lake Erie,H
Swan River,[],,Michigan,,,vicinity of St. Clair River | Wabisisipi,H
Swatara Creek,[],Dauphin County,Pennsylvania,,,,H
Swatara Creek,[],Schuylkill County,Pennsylvania,,,,H
Swatara Creek and Valley,[],,Pennsylvania,,,,T
Swego,[],,Ontario,,,Mingue Town on Grand River,
Switzerland,[],,,Switzerland,,,
Ta-ne-wan-di,['Seneca'],,,,,rapid stream,
Tahiti,['Otaheite'],,,,,,
Taniwandi,[],,,,,,
Tavandemung,[],,,,,place near Wyalusing | Tauwundamunk & Tauwundamunk,
Tawa Bay,[],,,,,Maumee Bay & name for Maumee Bay,H
Tawa River,['Miami of the Lake'],,Ohio,,,Maumee River & Maumee River,H
Tawa Town,[],,Ohio,,,location of Toledo,
Telpi-Mahonunk,[],,,,,,
Temaitasunk,[],,Ohio,,,,
Tenk-han-neck,['Delaware'],,,,,Small River,
Tenkhannek,[],,Pennsylvania,,,place on Susquehanna | Tengkannek | Tenkkanneck,
Tenkhanneti,[],,,,,,
Tenkhannik,['also Tenkhanneck'],,,,,,
Tennessee,[],,Tennessee,,,,
Teockhansoutehan,['a French town'],,,,,,
Tetechgath,[],,,,,,
Thames River,['Retrenche'],,Ontario,,,,H
Thuernstein,[],Schuylkill County,Pennsylvania,,,Broad Mount,
Thuppeeking,[],,,,,meaning Schonbrunn | Thupaken | Thuppeekunk,
Thuppekink,['Schonbrunn'],,,,,,
Thuppekunk,[],,Ohio,,,Schonbrunn,
Ti-a-o-ga,['Mohawk'],,,,,the forks,
Tiaogu,[],,Pennsylvania,,,,
Tinkers Creek Cuyahoga County,"[""Dunker's Creek""]",,Ohio,,,,H
Tioga,[],,,,,,
Tioga,"['also Tiaogu', 'Tiaogu', 'Diaogu']",Bradford County,Pennsylvania,,,modern Athens,
Tioga Point,[],Bradford County,Pennsylvania,,,site of Athens,S
Tioga River,[],,New York,,,,H
Tioga River or Creek,['Tiaogu'],,New York,,,name applied to Chemung River,H
Tioga site of present Athens,"['Tiaogu', 'Diaugu', 'Diaoju']",Bradford County,,,,Pennsylvania Geographic Names,
Tioginossongochto,[],,,,,,
Tionionwaquagarnto,[],,,,,,
Tobihanna Creek,[],Monroe County,Pennsylvania,,,,H
Toiondo,[],,,,,Toronto,
Tonawanda Town and Creek,['Taniwandi'],Genesee County,New York,,,,H
Toronto,['York'],,Ontario,,,,
Tower Hamlets,[],,,,,England | London,
Trenton,['Trentown'],,New Jersey,,,,
Tripoli,[],,,,,,
Trumbull County,[],Trumbull County,Ohio,,,,
Tschallachgasi,[],,,,,,
Tsche-ne-sche-e,['Seneca'],,,,,a fine valley,
Tschechachequanigk,['Schechschequanunk'],,,,,,
Tschehantowsh,[],,,,,,
Tschiaque Creek,[],,Ohio,,,East of Cuyahoga River,H
Tschimitagan,[],,,,,,
Tschitschiquanunk,['Schechschequanunk'],,,,,,
Tschochnot,[],,,,,place near Wyalusing,
Tschoniata River,[],,,,,,H
Tulling Brook,['?'],,New York,,,,
Tulpehocken,[],,,,,,
Tulpehocken Berks County,['also Tulpehockin'],,Pennsylvania,,,,
Tulpenocken,[],Berks County,Pennsylvania,,,,
Tunkhanneck,[],Monroe County,Pennsylvania,,,,
Tunkhannock,[],Wyoming County,Pennsylvania,,,,
Turkey Hill,[],New Haven County,Connecticut,,,Township of Derby,T
Turtle Creek,[],,Pennsylvania,,,Westmoreland and Allegheny County,H
Tuscarawas,['Tuscarawi'],,Ohio,,,,
Tuscarawas,['Tuscarawi'],Stark County,Ohio,,,,
Tuscarawas County,[],Tuscarawas County,Ohio,,,,
Tuscarawas River,['Tuscarawi'],,Ohio,,,,H
Tuscarawas River standing for Muskingum,"['Tuscarabi', 'Delaware', 'Tuscalabi']",,Ohio,,,,H
Tuscarawas Town,['Tuscarawi'],,Ohio,,,,
Tuscarawi,[],,Ohio,,,,
Tuscarawi Creek,[],,Ohio,,,,H
Tuscarawi now Bolivar,['Tuscorawas'],,Ohio,,,,
Tuscarora Creek,[],,,,,,H
Tuscarora Mountains,[],,Pennsylvania,,,between Franklin and Fulton County,T
Tuscarora Town,['Tosgarore'],,Ontario,,,Grand River,
Tuscarores,[],,,,,place near Wyalusing,
U. SouthA,[],,,,,,
Ulator County,[],,Pennsylvania,,,,
Unami,[],,,,,Great,
Unami River,[],,,,,,H
Upper Canada,[],,Ontario,,,,
Upper Lusatia,[],,,Germany,,,
Upper Sandusky,[],,,,,,
Upper Sandusky,[],Wyandot County,Ohio,,,,
Uschummo Uschummunk,[],,,,,,
Utica,['Judica'],,,,,New York former Fort Skuyler,
Venango,[],,,,,,
Venango River,['French Creek'],Venango County,Pennsylvania,,,,H
Vera Cruz Mexico,['La Vera Cruz'],,,,,,
Vermilion Creek,[],,Ohio,,,also Almenisepunk,H
Vermilion River Ohio,"['Wulamann', 'Zinneber River']",,,,,,H
Vermillion River,['presumably'],,Ohio,,,,H
Vienna,[],,,Austria,,,
Vier Bruder,['Four Brothers'],,,,,place between Gnadenhutten and Nescopeck,
Vincennes,"['Fort Vincent', 'Post Vincennes']",,Indiana,,,,
Vincennes Indiana,"['Post Vincennes', 'Post Vincent']",,,,,,
Virgin Islands,['Danish West Indian Islands'],,,,,,
Virginia,[],,Virginia,,,later State | Colony,
Vredens Huia,[],,,,,,
Wabash River,"['Wobash', 'Wapaasch', 'Wabbassch']",,Indiana,,,,H
Wabicamigunk,[],,,,,,
Wabisisipi,[],,Michigan,,,Swan River,
Wachau,['Wachovia'],,North Carolina,,,Moravian property in North Carolina,
Wachovia,"['Wachau', 'Wachua']",,North Carolina,,,,
Wackatemake,[],,,,,,
Wahochquage,[],Broome County,New York,,,Ouaquage | possibliy Oquaga,
Wajomick,[],,,,,,
Wajomik,"['Wyoming', 'Pennsylvania']",,,,,,
Wakotameki,['Wapitameki'],Muskingum County,Ohio,,,near Dresden,
Walbeck,['correctly Walpack'],,New Jersey,,,Lutheran mission place in New Jersey,
Walhanding,[],,,,,,
Walhanding Creek,[],,Ohio,,,,H
Walhanding Creek modern Walhonding,"['Wahlandunk', 'Walhandunk']",,Ohio,,,joining the Muskingum River at Coshocton,H
Walhanding River,['Walhanding Creek'],,,,,O,H
Walhanding River,['Walhanding'],Coshocton County,Ohio,,,also White Woman's Creek,H
Wanachquaticok,"['Wannachquattagck', 'Wannachgoattegck', 'Wonachquaticok', 'etc.']",Berkshire County,Massachusetts,,,Mass | Westenhuc & Westenhuc,
Wanachquatikok,[],,,,,Wannoquatagoch,
Wapwallopen,"['also Wambhallobank', 'Womphallepang', 'Waabhallobank', 'Waquallopank', 'etc.']",Luzerne County,Pennsylvania,,,Hollenback Township,
Wapwallopen,[],,,,,,
Warpoles,[],,,,,also Mittesagi,
Warren,[],,Ohio,,,,
Warren County,[],Warren County,Ohio,Lebanon,,,
Warte,[],,Pennsylvania,,,Lake Erie & Carbon or Luzerne County,
Warwick,[],,Pennsylvania,,,,
Warwick,[],,Ohio,,,,
Warwick,['Warrick'],,New York,,,,
Warwick,[],Chester County,Pennsylvania,,,,
Washington,[],,Washington,,,District of Columbia,
Washington County,['including also Beaver County'],Washington County,Pennsylvania,,,,
Washington County,[],Washington County,Ohio,,,,
Washington County,[],Washington County,Pennsylvania,,,,
Washington Road,[],,Pennsylvania,,,Washington and Beaver County,
Weapikamik,[],,,,,White River,
Wechpakak,[],,,,,,
Wechpakak place in Upper Susquehanna region,"['Wechpakak', 'Wiekpekat']",,,,,,
Wechquatnach,[],Litchfield County,Connecticut,,,Mission place,
Wechquetank,['Wequetank'],,Pennsylvania,,,,
Wechquetank,[],Monroe County,Pennsylvania,,,,
Wechquitehanek River,[],,Ohio,,,,H
Weelhik Thuppeek,['Weelhik Tuppeek'],,,,,,
Weh-to-pi-jah-neek,['Delaware'],,,,,Alder River,
Wehtak,[],Litchfield County,Connecticut,,,Salisbury,
Wenschigochpiechen,[],,Pennsylvania,,,place in Susquehanna region,
Wentschipaqua,[],,Ontario,,,,
Wequetank,[],,,,,,
Wequetank Creek,[],Monroe County,Pennsylvania,,,,H
West Alexander,['Alexandria'],Washington County,Pennsylvania,,,,
West Dever Township,[],,Ontario,,,,
West Indian Islands,[],,,,,,
West Indies,[],,,,,,
West River,[],,,,,,H
Westenhuc,"['Westenhuck', 'Westenhook', 'Westenhuk']",Berkshire County,Massachusetts,,,Wannaquatagoch | Massachusetts also Wanachquatikok,
Westenhuc Moravian mission place in Massachusetts,"['Westenhuck', 'Westenhook']",,Massachusetts,,,,
Western Sugar Creek,[],,Ohio,,,Stark and Tuscarawas County,H
Westliberty,[],Ohio County,West Virginia,,,,
Westminster,[],,,,,Enland | London | Liberty of,
Westmoreland County,[],Westmoreland County,Pennsylvania,,,,
Wheeling,"['Wuhling', 'Wilunk', 'Wiluck']",,West Virginia,,,,
Whi-a-lu-sis,['Delaware'],,,,,an old man,
White Clay River,[],,,,,,H
White Eye's Town,[],,Ohio,,,Coshecton County,
White River,"['q.v.', 'also White Clay River', 'Woapikamik', 'also Woapicamikunk', 'Woapicamikunk']",,Indiana,,,,H
White Stone,[],,New York,,,probably Long Island,
White Woman's Creek,[],,,,,,H
White Woman's Creek,"['Walbonding River', 'Walhonding Creek']",Coshocton County,Ohio,,,,H
White's Mill,[],Beaver County,Pennsylvania,,,,
Whitestown,[],,New York,,,site of Utica,
Whitewater River,[],,,,,Indiana and Ohio,H
Wihilusing,['Friedeshutten'],,Pennsylvania,,,Wyalusing,
Wilawana,[],,,,,,
Wilawana,"['Wilawane', 'Wilawanunk', 'Wilawunk']",Bradford County,Pennsylvania,,,,
Wild Creek,['presumably Wills Creek'],Coshocton County,Ohio,,,,H
Wilkes-Barre,[],,Pennsylvania,,,,
Williamsburg,[],,New York,,,County | Livingston | near Mount Morris,
Williamsburg,[],,Virginia,,,,
Wills Creek,[],Guernsey County,Ohio,,,,H
Wilmington,[],,Delaware,,,,
Wilson's Creek,['also Hackientschous Creek'],Northampton County,Pennsylvania,,,,H
Wilson's Mill,[],Northampton County,Pennsylvania,,,,
Wind Falls,[],,Ontario,,,,H
Windsor,[],,,,,England,
Winginund's Town,[],,,,,,
Wintering Place,[],,,,,,
Wisachkim,[],,Pennsylvania,,,place in Susquehanna Region,
Wisauchsican,[],,,,,place between the Muskingum and Ohio River,
Woachejeek Utoenink,[],,,,,,
Woaketammeki,[],,,,,,
Woaketammeki Muskingum County,"['Wackatomake', 'W[?]']",,Ohio,,,near Dresden,
Woaketammeki Shawnee town on Muskingum River,"['Woakatammike', 'Woaktammike', 'Woaktammuk']",,Ohio,,,,H
Woapicamikunk,[],,Indiana,,,White River | also White Clay River & White River,
Woapicamikunk White River,['Wabicamigunk'],,Indiana,,,,H
Woapikamik,[],,,,,,
Woapikamik Sipo,[],,Indiana,,,White River,
Woapikamikunk,[],,Indiana,,,White River | Delaware Town,
Woapiminschijeek,['Where the chestnut trees grow'],,Indiana,,,,
Woapimintshi,['Chestnut tree'],,Indiana,,,White River,
Woapisitschankgissigabawik,[],,,,,,
Woapisitschankgissigabewik,"['Swan standing on the tips of his toes', 'Wabistschangasigabawit']",,Ontario,,,,
Wolf Creek,[],Morgan County,Ohio,,,,H
Wolf Mountain,[],,,,,Pocono Mountains,T
Wolf Mountain,[],Monroe County,Pennsylvania,,,,T
Wolf's Mountain,[],Monroe County,Pennsylvania,,,,T
Women's Town,[],,,,,,
Wood Creek,[],Oneida County,New York,,,,H
Woodbeck's Tavern,[],,,,,New York Geographic Names | place about halfway between Kingston and Albany,
Woodbury,[],Litchfield County,Connecticut,,,,
Wooster,[],Wayne County,Ohio,,,,
Wulamanink,[],,Ohio,,,Vermilion River | Paint River,
Wulunk,"['Wheeling', 'West Virginia']",,,,,,
Wurtemberg,[],,,Germany,,,
Wyalusing,['Wihilusing'],,,,,,
Wyalusing,"['Wiolousing', 'Wihilusing']",Bradford County,Pennsylvania,,,Friedenshutten,
Wyalusing Creek,['Wichlusing'],Bradford County,Pennsylvania,,,,H
Wyalusing Creek,[],,,,,,H
Wyalusing Island,[],Bradford County,Pennsylvania,,,,
Wyandot Lower Town,[],,Ohio,,,Sandusky River,
Wyandot Town,[],Wyandot County,Ohio,,,Upper Sandusky,
Wyandot Town,[],,,,,east bank below the lower rapids of Sandusky River,
Wyandot Towns,[],,,,,,
Wyoming,[],,Wyoming,,,,
Wyoming Hills,[],Luzerne County,Pennsylvania,,,,T
Wyoming Luzerne County,"['also Wyomack', 'Wajomick', 'Yomack', 'etc.']",,Pennsylvania,,,,
Yellow Creek,[],Jefferson County,Ohio,,,,H
York,['Yorktown'],York,Pennsylvania,,,,
York,['Toronto'],York,Ontario,,,,
York County,[],York County,Pennsylvania,,,,
Yorktown,"['presumably York', 'Pennsylvania']",,Virginia,,,,
Youngstown,[],Youngstown,Ohio,,,,
Yrene,[],,,,,,
Ysenburg-Budingen,[],,,Germany,,,
Ysselstein,[],,,,,Holland,
Zanesville,[],,Ohio,,,Muskingum Co | Licking,
Zeisberger Island,[],,Ohio,,,Muskingum River,
Zeist,[],,,,,Holland,
Zeninga,[],,,,,Zenenge | Zeningo,
Zeninge,[],,,,,,
Zeninge,"['Shenango', 'Chenango']",Broome County,New York,,,Upper Susquehanna near Binghamton,
Zoneschio,[],,New York,,,Zonesschio,
Zoneschio River,[],,,,,,H
Zurich,[],,,Switzerland,,,
kaskaskunk,[],,,,,,
