al., also
Cr., Creek
N.J., New Jersey
O., Ohio
Co., County
St., St.
Ga., Georgia
Via., Virginia
N.Y., New York
Eng., Enland
Md., Maryland
Tp., Township
Pa., Pennsylvania
Mts., Mountains
Ky., Kentucky
N.C., North Carolina
mod., modern
Ft., Fort
Ind., Indiana
Mt., Mount
S., South
Co., County
Eps., Spain
Del., Delaware
N.W., ""
Va., Virginia
N.H., New Hampshire
R., River
D.C., District of Columbia
Brit., British
Wisc., Wisconsin
Mtn., Mountain
etc., etc.
Dist., District
M., M.
Cos., Cos.
Mass., Massachusetts
Conn., Connecticut
orig., original
betw., between
Tenn., Tennessee
W.Va., West Virginia
prob., probably
poss., possibliy
Mich., Michigan
U.S.A., United States
N.Y.C., New York City
W. Virginia, West Virginia
presum., presumably
Ont., Ontario